"","Plant_species","Id","Pollinator_species","Interaction","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n"
"891","Commicarpus tuberosus",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Fabales","Nyctaginaceae","Boerhavia","Boerhavia tuberosa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","campanulate","actinomorphic","0.5","NA","NA","0.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.3","1.5","0.9","felger 2016","journal: arizona flora","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"892","Cordia leucophlyctis",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Boraginales","Boraginaceae","Cordia","Cordia leucophlyctis","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","257","self_incompatible","mcmullen 1987","journal: american journal of botany"," https://doi.org/10.1002/j.1537-2197.1987.tb08770.x ","NA","flower","NA","NA","no","white","campanulate","actinomorphic","9.7100000000000009","NA","NA","7.38","NA","NA","NA","1.6","1.4","1.8","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","1","2.5","1.75","macmullen 1987; wiggins, porter & anderson 1971","journal: american journal of botany; book: flora of the galapagos islands","https://doi.org/10.2307/2444139","NA","NA","NA","NA","fruit","12.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"893","Cordia lutea",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Boraginales","Boraginaceae","Cordia","Cordia lutea","NA","bisexual","hermaphrodite","distylous","low","quantitative","4","0.46","141","self_compatible","mcmullen 2012","journal: plant systematics and evolution"," https://doi.org/10.1007/s00606-011-0567-3 ","NA","flower","NA","NA","no","yellow","campanulate","actinomorphic","30","20","40","24.63","20.27","28.99","NA","11","10","12","NA","NA","NA","NA","NA","NA","NA","tree","perennial","3","6","4.5","mcmullen 2011; hervias-parejo & traveset 2018; wiggings & anderson 1971","journal: plant systematics; journal: american journal of botany; book: flora of th galapagos islands","https://doi.org/10.1007/s00606-011-0567-3","https://doi.org/10.1002/ajb2.1122","NA","NA","NA","fruit","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"894","Cordia sp1 M_PL_026",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Boraginales","Boraginaceae","Cordia","Cordia sp.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"895","Crotalaria incana",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Fabales","Fabaceae","Crotalaria","Crotalaria incana","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","yellow","papilionaceous","zygomorphic","9","8","10","9","8","10","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","1.5","0.75","NA; NA","online: https://portal.wiktrop.org/; online: http://plantnet.rbgsyd.nsw.gov.au/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"896","Croton scouleri",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Malpighiales","Euphorbiaceae","Croton","Croton scouleri","NA","separated","dioecious","NA","none","quantitative","0","0","NA","dioecious","NA","NA","NA","NA","flower","NA","NA","NA","yellow","exposed","actinomorphic","3","2.5","3.6","1","NA","NA","NA","3","2","4","NA","NA","NA","NA","NA","NA","NA","tree","perennial","2","6","4","rumeu 2016; wiggins,porter & anderson 1971","journal: journal of biogeography; book: flora of the galapagos island","https://doi.org/10.1111/jbi.12753","ISBN: 0804707324","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"897","Cryptocarpus pyriformis",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Caryophyllales","Nyctaginaceae","Cryptocarpus","Cryptocarpus pyriformis","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","green_white","dish","actinomorphic","2.2599999999999998","1.83","2.69","1.59","1.0900000000000001","1.99","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","0.3","1.2","0.75","hervias-parejo & traveset 2018","journal: american journal of botany","https://doi.org/10.1002/ajb2.1122","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"898","Cucurbita pepo",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita pepo","NA","separated","monoecious","NA","none","quantitative","0","0","NA","monoecious","NA","NA","NA","NA","flower","no","no","NA","orange_yellow","funnelform","actinomorphic","100","NA","NA","70","40","100","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.3","0.75","0.48","Flora of North America; University of Michigan","http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250100835","http://climbers.lsa.umich.edu/?p=262","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"899","Cuphea racemosa",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Myrtales","Lythraceae","Cuphea","Cuphea racemosa","NA","bisexual","hermaphrodite","NA","medium","quantitative","36.1","1","97","self_compatible","mcmullen 1987","journal: american journal of botany"," https://doi.org/10.1002/j.1537-2197.1987.tb08770.x ","NA","flower","NA","NA","no","white","tube","zygomorphic","3.8","NA","NA","6","NA","NA","6","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","annual","NA","0.5","0.25","NA","online: http://www.hear.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"900","Darwiniothamnus tenuifolius",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Asterales","Asteraceae","Darwiniothamnus","Darwiniothamnus tenuifolius","NA","both","hermaphrodite","NA","high","qualitative","NA","NA","NA","self_compatible","chamarro et al., 2012","journal: annals of botany","10.1093/aob/mcs132","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","16.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","2","8","5","wiggins, porter & anderson 1971","book: flora of the galapagos islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"901","Diodia radula",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Gentianales","Rubiaceae","Diodella","Diodella radula","NA","separated","monoecious","NA","none","quantitative","0","0","NA","monoecious","varjao, jardim & cnceisao","journal: biota neotropica","10.1590/S1676-06032013000200011 ","NA","flower","NA","NA","NA","white","tube","actinomorphic","5","NA","NA","8","NA","NA","8","7","6","8","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.4","1.2","0.8","varjao, jardim & cnceisao","journal: biota neotropica","10.1590/S1676-06032013000200011 ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"902","Encelia hispida",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Asterales","Asteraceae","Encelia","Encelia hispida","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","NA","capitulum","actinomorphic","9","7","11","NA","NA","NA","NA","1.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","0.6","1","0.8","wiggins, porter & anderson 1971","book: flora of the galapagos islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"903","Euphorbia cyathophora",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia cyathophora","NA","separated","monoecious","NA","none","quantitative","0","0","NA","monoecious","NA","online: https://keyserver.lucidcentral.org/","NA","NA","flower","no","NA","NA","green","exposed","actinomorphic","2","NA","NA","2","NA","NA","NA","1.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.2","1","0.6","NA; NA","online: http://www.efloras.org/; online: https://keyserver.lucidcentral.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"904","Galactea striata",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Fabales","Fabaceae","Galactia","Galactia striata","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","purple","papilionaceous","zygomorphic","11","10","12","11","NA","NA","NA","NA","NA","NA","NA","NA","12","NA","NA","NA","NA","vine","perennial","0.6","4","2.2999999999999998","NA; NA","online: https://plants.jstor.org/; online: https://www.mozambiqueflora.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"905","Galvezia leucantha",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Lamiales","Plantaginaceae","Galvezia","Galvezia leucantha","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","tye & jager 2000","journal: novon","10.2307/3393021","NA","flower","NA","NA","NA","white","tube","zygomorphic","7","NA","NA","9.25","7.5","12","7.75","1.5","NA","NA","NA","NA","4","NA","NA","NA","NA","shrub","perennial","NA","1.5","0.75","wiggins, porter & anderson 1971","book: flora of the galapagos islands; book: a flora of north america","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"906","Galvezia leucantha pubescen",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Lamiales","Plantaginaceae","Galvezia","Galvezia leucantha","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","tye & jager 2000","journal: novon","10.2307/3393021","NA","flower","NA","NA","NA","white","tube","zygomorphic","7","NA","NA","9.25","7.5","12","7.75","1.5","NA","NA","NA","NA","4","NA","NA","NA","NA","shrub","perennial","NA","1.5","0.75","wiggins, porter & anderson 1971","book: flora of the galapagos islands; book: a flora of north america","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"907","Geoffroea spinosa",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Fabales","Fabaceae","Geoffroea","Geoffroea spinosa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","yellow","papilionaceous","zygomorphic","10","NA","NA","15","NA","NA","NA","15","NA","NA","NA","NA","NA","NA","NA","NA","NA","tree","perennial","NA","NA","6","NA","online: http://powo.science.kew.org/ *flower metrics*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"908","Gossypium barbadense",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Malvales","Malvaceae","Gossypium","Gossypium barbadense","NA","bisexual","hermaphrodite","NA","high","quantitative","75","0.96","8","self_compatible","mcmullen 1987","journal: american journal of botany"," https://doi.org/10.1002/j.1537-2197.1987.tb08770.x ","NA","flower","no","NA","no","yellow","bowl","actinomorphic","70","50","90","25","NA","NA","NA","35","20","50","NA","NA","50","NA","NA","NA","NA","shrub","perennial","1","3","2","NA","online: https://www.oecd-ilibrary.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"909","Gossypium sp1 M_PL_026",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Malvales","Malvaceae","Gossypium","Gossypium sp.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"910","Hibiscus teliaceus",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Malvales","Malvaceae","Hibiscus","Hibiscus tiliaceus","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","flower","yes","NA","NA","yellow","bowl","actinomorphic","140","120","180","50","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tree","perennial","2.5","8","5","NA; NA","online: http://plantnet.rbgsyd.nsw.gov.au; https://www.paldat.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"911","Inga edulis",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Fabales","Fabaceae","Inga","Inga edulis","NA","bisexual","hermaphrodite","NA","none","qualitative","NA","NA","NA","self_incompatible","NA","online: http://ecoport.org/","NA","NA","flower","no","NA","no","green","tube","actinomorphic","2.5","NA","NA","17","14","20","NA","48","NA","NA","NA","NA","25","20","30","NA","NA","tree","perennial","NA","30","15","NA; NA","online: http://old.worldagroforestry.org/; online: https://www.cabi.org/ *ovules*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"912","Ipomoea linearifolia",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Solanales","Convolvulaceae","Ipomoea","Ipomoea linearifolia","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","4.5","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","vine","perennial","NA","NA","0.1","wiggins, porter & anderson 1971; macmullen 2009","book: flowering plants of the galapagos; online: flora of zimbabwe; journal: botanical journal of the linnean society","NA","https://doi.org/10.1111/j.1095-8339.2009.00963.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"913","Ipomoea pes-caprae",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Solanales","Convolvulaceae","Ipomoea","Ipomoea pes-caprae","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","NA","self_incompatible","devall & thien 1989; devall 1992","journal: american journal of botany; journal: journal of coastal research","10.2307/2444480; NA","NA","flower","yes","cuttings","no","purple","campanulate","actinomorphic","95","30","160","45","30","60","NA","15","NA","NA","NA","NA","6","NA","NA","NA","NA","vine","perennial","NA","10","5","janzen 1983; NA","book: costa rican natural history; online: http://keys.trin.org.au/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"914","Ipomoea sp1 M_PL_026",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Solanales","Convolvulaceae","Ipomoea","Ipomoea sp.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"915","Jaegeria gracilis",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Asterales","Asteraceae","Jaegeria","Jaegeria gracilis","NA","bisexual","hermaphrodite","NA","high","qualitative","NA","NA","NA","self_compatible","chamarro et al., 2012","journal: annals of botany","https://doi.org/10.1093/aob/mcs132","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","5","4","6","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","NA","0.3","0.15","mcmullen 1999; torres 1968","book: flowering plants of the galapagos; journal: brittonia","NA","10.2307/2805461","NA","NA","NA","NA","NA","10","NA","NA","NA","NA","0","10","NA","NA","NA","NA"
"916","Justicia galapagana",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Lamiales","Acanthaceae","Justicia","Justicia galapagana","NA","bisexual","hermaphrodite","NA","medium","quantitative","38.1","NA","148","self_compatible","mcmullen 1995","journal: noticias de galapagos","NA","NA","flower","NA","NA","NA","purple","tube","zygomorphic","8","NA","NA","10","NA","NA","5","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","perennial","NA","1","0.5","mcmullen 1999","book: flowering plants of the galapagos","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"917","Leucosceptrum stellipilum",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Lamiales","Lamiaceae","Comanthosphace","Comanthosphace stellipila","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","4","NA","NA","8.5","8","9","8.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","1.5","7","4.25","moore, 1877","book: flora of china 17: 256-257. 1994.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"918","Ligularia fischerii",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Asterales","Asteraceae","Ligularia","Ligularia fischeri","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_incompatible","capitulum","NA","NA","NA","yellow","tube","actinomorphic","40","NA","NA","15","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.8","2","1.4","NA","online: efloras.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"919","Ligustrum obtusifolium",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Lamiales","Oleaceae","Ligustrum","Ligustrum obtusifolium","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","5","NA","NA","9","NA","NA","9","1.5","1","2","NA","NA","4","NA","NA","NA","NA","shrub","perennial","NA","3","1.5","NA; NA; NA","online: https://www.discoverlife.org; online: https://gobotany.newenglandwild.org; online: https://www.discoverlife.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"920","Lindera obtusiloba",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Laurales","Lauraceae","Lindera","Lindera obtusiloba","NA","separated","dioecious","NA","none","quantitative","0","0","NA","dioecious","NA","NA","NA","NA","flower","no","NA","NA","white_yellow","dish","actinomorphic","6.5","4","9","2","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","tree","perennial","3","10","6.5","NA; dupont 2002","online: efloras.org; population ecology","NA","https://doi.org/10.1007/s101440200033","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"921","Malvastrum coromandelianum",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Malvales","Malvaceae","Malvastrum","Malvastrum coromandelianum","NA","bisexual","hermaphrodite","NA","high","qualitative","NA","NA","NA","self_compatible","hill 1982","journal: rhodora","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","17","16","18","5","NA","NA","NA","4","NA","NA","NA","NA","11","9","13","NA","NA","herb","annual_short_lived_perennial","0.2","0.6","0.4","NA","online: http://w3.biosci.utexas.edu/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"922","Lonicera gracilipes",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Dipsacales","Caprifoliaceae","Lonicera","Lonicera gracilipes","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","NA","self_incompatible","shimizu 2014","journal: scientific reports","10.1038/srep03988","NA","flower","NA","NA","no","yellow","tube","actinomorphic","7.7","NA","NA","11.3","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","NA","3","1.5","bieniasz, dziedzic & slowic 2019; shimizu et al., 2014","journal: horticulture, journal: environment and biotechnology; journal: scientific reports 2014","10.1007/s13580-018-0110-3","https://doi.org/10.1038/srep03988","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"923","Macleaya cordata",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Ranunculales","Papaveraceae","Macleaya","Macleaya cordata","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","brush","actinomorphic","20","NA","NA","10","NA","NA","NA","1","NA","NA","NA","NA","5","4","6","NA","NA","tree","perennial","NA","3","1.5","NA","online: http://www.medicinabiomolecular.com.br; online: http://alienplantsbelgium.be/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"924","Meehania urticifolia",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Lamiales","Lamiaceae","Meehania","Meehania urticifolia","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","stolons","NA","purple","campanulate","zygomorphic","NA","NA","NA","3.1","2.2000000000000002","4","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","herb","perennial","0.2","0.4","0.3","NA; NA","online: efloras.org; online: http://herbanwmex.net/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"925","Mormordica charantia",NA,NA,NA,"mcmullen_1993.csv","Galapagos",-0.290164,-90.600747,"Cucurbitales","Cucurbitaceae","Momordica","Momordica charantia","NA","separated","monoecious","NA","none","quantitative","0","0","NA","monoecious","NA","online: https://www.cabi.org/","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","32","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","48","42","54","NA","NA","vine","annual","2","3","2.5","NA; chan et al., 1999","online: https://www.cabi.org/; journal: journal of agricultural research china *ovules*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"926","Omphalodes japonica",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Boraginales","Boraginaceae","Omphalodes","Omphalodes japonica","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","blue","dish","actinomorphic","9","8","10","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","0.2","0.14000000000000001","kadota 2009; NA","journal: journal of japanese botany; online: http://www.takao599museum.jp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"927","Orixa japonica",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Sapindales","Rutaceae","Orixa","Orixa japonica","NA","separated","dioecious","NA","none","quantitative","0","0","NA","dioecious","NA","NA","NA","NA","flower","yes","sprouting layering and root suckering","NA","yellow","dish","actinomorphic","5.5","5","6","2","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","vine","perennial","NA","3","1.5","NA; tamaki et al., 2016","online: efloras.org; journal: applications in plant science","NA","10.3732/apps.1600066","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"928","Osterium sieboldii",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Apiales","Apiaceae","Ostericum","Ostericum sieboldii","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","2.5","NA","NA","0.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.5","1.5","1","inoue et al., 1990; NA; NA","journal: contributions from the biological laboratory; online: efloras.org; online: http://flowers.la.coocan.jp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"929","Paederia scandens",NA,NA,NA,"Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Gentianales","Rubiaceae","Paederia","Paederia foetida","NA","bisexual","hermaphrodite","protandrous","low","quantitative","2.5","NA","58","self_incompatible","liu, pemberton & stilin 2006","journal: the journal of the torrey botanical society","https://doi.org/10.3159/1095-5674(2006)133[304:naippa]2.0.co;2","NA","flower","yes","rooting stems","no","red_white","campanulate","actinomorphic","10","NA","NA","10","NA","NA","10","9.5","4","15","NA","NA","2","NA","NA","NA","NA","vine","perennial","NA","9","4.5","liu, pemberton & stiling 2006; NA; NA","journal: the journal of the torrey botanical society; online: https://www.fs.fed.us; online: http://www.globinmed.com/","https://doi.org/10.3159/1095-5674(2006)133[304:naippa]2.0.co;2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
