"","Plant_species","Pollinator_species","Interaction","NA","NA"
"804","Hypochoeris radicata","Anosymia sp1 M_PL_006","Interaction",NA,0
"805","Ranunculus acris","Anosymia sp1 M_PL_006","Interaction",NA,0
"806","Trifolium dubium","Anosymia sp1 M_PL_006","Interaction",NA,0
"807","Prunella vulgaris","Anosymia sp1 M_PL_006","Interaction",NA,0
"808","Achillea millefolium","Anosymia sp1 M_PL_006","Interaction",NA,0
"809","Centaurea nigra","Anosymia sp1 M_PL_006","Interaction",NA,0
"810","Trifolium repens","Anosymia sp1 M_PL_006","Interaction",NA,0
"811","Vicia sativa","Anosymia sp1 M_PL_006","Interaction",NA,0
"812","Lychnis flos-cuculi","Anosymia sp1 M_PL_006","Interaction",NA,0
"813","Plantago lanceolata","Anosymia sp1 M_PL_006","Interaction",NA,0
"814","Trifolium pratense","Anosymia sp1 M_PL_006","Interaction",NA,0
"815","Cirsium arvense","Anosymia sp1 M_PL_006","Interaction",NA,0
"816","Taraxacum officinale","Anosymia sp1 M_PL_006","Interaction",NA,0
"817","Leucanthemum vulgare","Bombus lapidarius","Interaction",NA,0
"818","Lotus corniculatus","Bombus lapidarius","Interaction",NA,1
"819","Lathyrus pratensis","Bombus lapidarius","Interaction",NA,0
"820","Vicia cracca","Bombus lapidarius","Interaction",NA,0
"821","Hypochoeris radicata","Bombus lapidarius","Interaction",NA,0
"822","Ranunculus acris","Bombus lapidarius","Interaction",NA,0
"823","Trifolium dubium","Bombus lapidarius","Interaction",NA,0
"824","Prunella vulgaris","Bombus lapidarius","Interaction",NA,0
"825","Achillea millefolium","Bombus lapidarius","Interaction",NA,0
"826","Centaurea nigra","Bombus lapidarius","Interaction",NA,0
"827","Trifolium repens","Bombus lapidarius","Interaction",NA,0
"828","Vicia sativa","Bombus lapidarius","Interaction",NA,0
"829","Lychnis flos-cuculi","Bombus lapidarius","Interaction",NA,0
"830","Plantago lanceolata","Bombus lapidarius","Interaction",NA,0
"831","Trifolium pratense","Bombus lapidarius","Interaction",NA,0
"832","Cirsium arvense","Bombus lapidarius","Interaction",NA,0
"833","Taraxacum officinale","Bombus lapidarius","Interaction",NA,0
"834","Leucanthemum vulgare","Chloromyia formosa","Interaction",NA,0
"835","Lotus corniculatus","Chloromyia formosa","Interaction",NA,0
"836","Lathyrus pratensis","Chloromyia formosa","Interaction",NA,0
"837","Vicia cracca","Chloromyia formosa","Interaction",NA,0
"838","Hypochoeris radicata","Chloromyia formosa","Interaction",NA,0
"839","Ranunculus acris","Chloromyia formosa","Interaction",NA,0
"840","Trifolium dubium","Chloromyia formosa","Interaction",NA,1
"841","Prunella vulgaris","Chloromyia formosa","Interaction",NA,0
"842","Achillea millefolium","Chloromyia formosa","Interaction",NA,0
"843","Centaurea nigra","Chloromyia formosa","Interaction",NA,0
"844","Trifolium repens","Chloromyia formosa","Interaction",NA,0
"845","Vicia sativa","Chloromyia formosa","Interaction",NA,0
"846","Lychnis flos-cuculi","Chloromyia formosa","Interaction",NA,0
"847","Plantago lanceolata","Chloromyia formosa","Interaction",NA,0
"848","Trifolium pratense","Chloromyia formosa","Interaction",NA,0
"849","Cirsium arvense","Chloromyia formosa","Interaction",NA,0
"850","Taraxacum officinale","Chloromyia formosa","Interaction",NA,0
"851","Leucanthemum vulgare","Lasioglossum calceatum","Interaction",NA,0
"852","Lotus corniculatus","Lasioglossum calceatum","Interaction",NA,0
"853","Lathyrus pratensis","Lasioglossum calceatum","Interaction",NA,0
"854","Vicia cracca","Lasioglossum calceatum","Interaction",NA,0
"855","Hypochoeris radicata","Lasioglossum calceatum","Interaction",NA,0
"856","Ranunculus acris","Lasioglossum calceatum","Interaction",NA,1
"857","Trifolium dubium","Lasioglossum calceatum","Interaction",NA,0
"858","Prunella vulgaris","Lasioglossum calceatum","Interaction",NA,0
"859","Achillea millefolium","Lasioglossum calceatum","Interaction",NA,0
"860","Centaurea nigra","Lasioglossum calceatum","Interaction",NA,0
"861","Trifolium repens","Lasioglossum calceatum","Interaction",NA,0
"862","Vicia sativa","Lasioglossum calceatum","Interaction",NA,0
"863","Lychnis flos-cuculi","Lasioglossum calceatum","Interaction",NA,0
"864","Plantago lanceolata","Lasioglossum calceatum","Interaction",NA,0
"865","Trifolium pratense","Lasioglossum calceatum","Interaction",NA,0
"866","Cirsium arvense","Lasioglossum calceatum","Interaction",NA,0
"867","Taraxacum officinale","Lasioglossum calceatum","Interaction",NA,0
"868","Leucanthemum vulgare","Lasioglossum leucozonium","Interaction",NA,0
"869","Lotus corniculatus","Lasioglossum leucozonium","Interaction",NA,0
"870","Lathyrus pratensis","Lasioglossum leucozonium","Interaction",NA,0
"871","Vicia cracca","Lasioglossum leucozonium","Interaction",NA,0
"872","Hypochoeris radicata","Lasioglossum leucozonium","Interaction",NA,1
"873","Ranunculus acris","Lasioglossum leucozonium","Interaction",NA,0
"874","Trifolium dubium","Lasioglossum leucozonium","Interaction",NA,0
"875","Prunella vulgaris","Lasioglossum leucozonium","Interaction",NA,0
"876","Achillea millefolium","Lasioglossum leucozonium","Interaction",NA,0
"877","Centaurea nigra","Lasioglossum leucozonium","Interaction",NA,0
"878","Trifolium repens","Lasioglossum leucozonium","Interaction",NA,0
"879","Vicia sativa","Lasioglossum leucozonium","Interaction",NA,0
"880","Lychnis flos-cuculi","Lasioglossum leucozonium","Interaction",NA,0
"881","Plantago lanceolata","Lasioglossum leucozonium","Interaction",NA,0
"882","Trifolium pratense","Lasioglossum leucozonium","Interaction",NA,0
"883","Cirsium arvense","Lasioglossum leucozonium","Interaction",NA,0
"884","Taraxacum officinale","Lasioglossum leucozonium","Interaction",NA,0
"885","Leucanthemum vulgare","Lasioglossum villosulum","Interaction",NA,0
"886","Lotus corniculatus","Lasioglossum villosulum","Interaction",NA,0
"887","Lathyrus pratensis","Lasioglossum villosulum","Interaction",NA,0
"888","Vicia cracca","Lasioglossum villosulum","Interaction",NA,0
"889","Hypochoeris radicata","Lasioglossum villosulum","Interaction",NA,0
"890","Ranunculus acris","Lasioglossum villosulum","Interaction",NA,1
"891","Trifolium dubium","Lasioglossum villosulum","Interaction",NA,0
"892","Prunella vulgaris","Lasioglossum villosulum","Interaction",NA,0
"893","Achillea millefolium","Lasioglossum villosulum","Interaction",NA,0
"894","Centaurea nigra","Lasioglossum villosulum","Interaction",NA,0
"895","Trifolium repens","Lasioglossum villosulum","Interaction",NA,0
"896","Vicia sativa","Lasioglossum villosulum","Interaction",NA,0
"897","Lychnis flos-cuculi","Lasioglossum villosulum","Interaction",NA,0
"898","Plantago lanceolata","Lasioglossum villosulum","Interaction",NA,0
"899","Trifolium pratense","Lasioglossum villosulum","Interaction",NA,0
"900","Cirsium arvense","Lasioglossum villosulum","Interaction",NA,0
"901","Taraxacum officinale","Lasioglossum villosulum","Interaction",NA,0
"902","Leucanthemum vulgare","Malachius viridus","Interaction",NA,1
"903","Lotus corniculatus","Malachius viridus","Interaction",NA,0
"904","Lathyrus pratensis","Malachius viridus","Interaction",NA,0
"905","Vicia cracca","Malachius viridus","Interaction",NA,0
"906","Hypochoeris radicata","Malachius viridus","Interaction",NA,0
"907","Ranunculus acris","Malachius viridus","Interaction",NA,0
"908","Trifolium dubium","Malachius viridus","Interaction",NA,0
"909","Prunella vulgaris","Malachius viridus","Interaction",NA,0
"910","Achillea millefolium","Malachius viridus","Interaction",NA,0
"911","Centaurea nigra","Malachius viridus","Interaction",NA,0
"912","Trifolium repens","Malachius viridus","Interaction",NA,0
"913","Vicia sativa","Malachius viridus","Interaction",NA,0
"914","Lychnis flos-cuculi","Malachius viridus","Interaction",NA,0
"915","Plantago lanceolata","Malachius viridus","Interaction",NA,0
"916","Trifolium pratense","Malachius viridus","Interaction",NA,0
"917","Cirsium arvense","Malachius viridus","Interaction",NA,0
"918","Taraxacum officinale","Malachius viridus","Interaction",NA,0
"919","Leucanthemum vulgare","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"920","Lotus corniculatus","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"921","Lathyrus pratensis","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"922","Vicia cracca","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"923","Hypochoeris radicata","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"924","Ranunculus acris","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"925","Trifolium dubium","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"926","Prunella vulgaris","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"927","Achillea millefolium","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"928","Centaurea nigra","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"929","Trifolium repens","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"930","Vicia sativa","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"931","Lychnis flos-cuculi","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"932","Plantago lanceolata","Meliscaeva sp1 M_PL_006","Interaction",NA,1
"933","Trifolium pratense","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"934","Cirsium arvense","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"935","Taraxacum officinale","Meliscaeva sp1 M_PL_006","Interaction",NA,0
"936","Leucanthemum vulgare","Nemotelus pantherinus","Interaction",NA,1
"937","Lotus corniculatus","Nemotelus pantherinus","Interaction",NA,0
"938","Lathyrus pratensis","Nemotelus pantherinus","Interaction",NA,0
"939","Vicia cracca","Nemotelus pantherinus","Interaction",NA,0
"940","Hypochoeris radicata","Nemotelus pantherinus","Interaction",NA,0
"941","Ranunculus acris","Nemotelus pantherinus","Interaction",NA,0
"942","Trifolium dubium","Nemotelus pantherinus","Interaction",NA,0
"943","Prunella vulgaris","Nemotelus pantherinus","Interaction",NA,0
"944","Achillea millefolium","Nemotelus pantherinus","Interaction",NA,0
"945","Centaurea nigra","Nemotelus pantherinus","Interaction",NA,0
"946","Trifolium repens","Nemotelus pantherinus","Interaction",NA,0
"947","Vicia sativa","Nemotelus pantherinus","Interaction",NA,0
"948","Lychnis flos-cuculi","Nemotelus pantherinus","Interaction",NA,0
"949","Plantago lanceolata","Nemotelus pantherinus","Interaction",NA,0
"950","Trifolium pratense","Nemotelus pantherinus","Interaction",NA,0
"951","Cirsium arvense","Nemotelus pantherinus","Interaction",NA,0
"952","Taraxacum officinale","Nemotelus pantherinus","Interaction",NA,0
"953","Leucanthemum vulgare","Oligia sp1 M_PL_006","Interaction",NA,1
"954","Lotus corniculatus","Oligia sp1 M_PL_006","Interaction",NA,0
"955","Lathyrus pratensis","Oligia sp1 M_PL_006","Interaction",NA,0
"956","Vicia cracca","Oligia sp1 M_PL_006","Interaction",NA,0
"957","Hypochoeris radicata","Oligia sp1 M_PL_006","Interaction",NA,0
"958","Ranunculus acris","Oligia sp1 M_PL_006","Interaction",NA,0
"959","Trifolium dubium","Oligia sp1 M_PL_006","Interaction",NA,0
"960","Prunella vulgaris","Oligia sp1 M_PL_006","Interaction",NA,0
"961","Achillea millefolium","Oligia sp1 M_PL_006","Interaction",NA,0
"962","Centaurea nigra","Oligia sp1 M_PL_006","Interaction",NA,0
"963","Trifolium repens","Oligia sp1 M_PL_006","Interaction",NA,0
"964","Vicia sativa","Oligia sp1 M_PL_006","Interaction",NA,0
"965","Lychnis flos-cuculi","Oligia sp1 M_PL_006","Interaction",NA,0
"966","Plantago lanceolata","Oligia sp1 M_PL_006","Interaction",NA,0
"967","Trifolium pratense","Oligia sp1 M_PL_006","Interaction",NA,0
"968","Cirsium arvense","Oligia sp1 M_PL_006","Interaction",NA,0
"969","Taraxacum officinale","Oligia sp1 M_PL_006","Interaction",NA,0
"970","Leucanthemum vulgare","Parhelophilus sp1 M_PL_006","Interaction",NA,1
"971","Lotus corniculatus","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"972","Lathyrus pratensis","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"973","Vicia cracca","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"974","Hypochoeris radicata","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"975","Ranunculus acris","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"976","Trifolium dubium","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"977","Prunella vulgaris","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"978","Achillea millefolium","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"979","Centaurea nigra","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"980","Trifolium repens","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"981","Vicia sativa","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"982","Lychnis flos-cuculi","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"983","Plantago lanceolata","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"984","Trifolium pratense","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"985","Cirsium arvense","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"986","Taraxacum officinale","Parhelophilus sp1 M_PL_006","Interaction",NA,0
"987","Leucanthemum vulgare","Pyronia tithonus","Interaction",NA,0
"988","Lotus corniculatus","Pyronia tithonus","Interaction",NA,1
"989","Lathyrus pratensis","Pyronia tithonus","Interaction",NA,0
"990","Vicia cracca","Pyronia tithonus","Interaction",NA,0
"991","Hypochoeris radicata","Pyronia tithonus","Interaction",NA,0
"992","Ranunculus acris","Pyronia tithonus","Interaction",NA,0
"993","Trifolium dubium","Pyronia tithonus","Interaction",NA,0
"994","Prunella vulgaris","Pyronia tithonus","Interaction",NA,0
"995","Achillea millefolium","Pyronia tithonus","Interaction",NA,0
"996","Centaurea nigra","Pyronia tithonus","Interaction",NA,0
"997","Trifolium repens","Pyronia tithonus","Interaction",NA,0
"998","Vicia sativa","Pyronia tithonus","Interaction",NA,0
"999","Lychnis flos-cuculi","Pyronia tithonus","Interaction",NA,0
"1000","Plantago lanceolata","Pyronia tithonus","Interaction",NA,0
"1001","Trifolium pratense","Pyronia tithonus","Interaction",NA,0
"1002","Cirsium arvense","Pyronia tithonus","Interaction",NA,0
"1003","Taraxacum officinale","Pyronia tithonus","Interaction",NA,0
"1004","Leucanthemum vulgare","Rhagonycha fulva","Interaction",NA,1
"1005","Lotus corniculatus","Rhagonycha fulva","Interaction",NA,0
"1006","Lathyrus pratensis","Rhagonycha fulva","Interaction",NA,0
"1007","Vicia cracca","Rhagonycha fulva","Interaction",NA,0
"1008","Hypochoeris radicata","Rhagonycha fulva","Interaction",NA,0
"1009","Ranunculus acris","Rhagonycha fulva","Interaction",NA,0
"1010","Trifolium dubium","Rhagonycha fulva","Interaction",NA,0
"1011","Prunella vulgaris","Rhagonycha fulva","Interaction",NA,0
"1012","Achillea millefolium","Rhagonycha fulva","Interaction",NA,0
"1013","Centaurea nigra","Rhagonycha fulva","Interaction",NA,0
"1014","Trifolium repens","Rhagonycha fulva","Interaction",NA,0
"1015","Vicia sativa","Rhagonycha fulva","Interaction",NA,0
"1016","Lychnis flos-cuculi","Rhagonycha fulva","Interaction",NA,0
"1017","Plantago lanceolata","Rhagonycha fulva","Interaction",NA,0
"1018","Trifolium pratense","Rhagonycha fulva","Interaction",NA,0
"1019","Cirsium arvense","Rhagonycha fulva","Interaction",NA,0
"1020","Taraxacum officinale","Rhagonycha fulva","Interaction",NA,0
"1021","Leucanthemum vulgare","Tetanocera ferruginea","Interaction",NA,1
"1022","Lotus corniculatus","Tetanocera ferruginea","Interaction",NA,0
"1023","Lathyrus pratensis","Tetanocera ferruginea","Interaction",NA,0
"1024","Vicia cracca","Tetanocera ferruginea","Interaction",NA,0
"1025","Hypochoeris radicata","Tetanocera ferruginea","Interaction",NA,0
"1026","Ranunculus acris","Tetanocera ferruginea","Interaction",NA,0
"1027","Trifolium dubium","Tetanocera ferruginea","Interaction",NA,0
"1028","Prunella vulgaris","Tetanocera ferruginea","Interaction",NA,0
"1029","Achillea millefolium","Tetanocera ferruginea","Interaction",NA,0
"1030","Centaurea nigra","Tetanocera ferruginea","Interaction",NA,0
"1031","Trifolium repens","Tetanocera ferruginea","Interaction",NA,0
"1032","Vicia sativa","Tetanocera ferruginea","Interaction",NA,0
"1033","Lychnis flos-cuculi","Tetanocera ferruginea","Interaction",NA,0
"1034","Plantago lanceolata","Tetanocera ferruginea","Interaction",NA,0
"1035","Trifolium pratense","Tetanocera ferruginea","Interaction",NA,0
"1036","Cirsium arvense","Tetanocera ferruginea","Interaction",NA,0
"1037","Taraxacum officinale","Tetanocera ferruginea","Interaction",NA,0
"1038","Centaurea nigra","Bombus lapidarius","Interaction",NA,469
"1039","Leucanthemum vulgare","Bombus lapidarius","Interaction",NA,36
"1040","Cirsium palustre","Bombus lapidarius","Interaction",NA,8
"1041","Ranunculus acris","Bombus lapidarius","Interaction",NA,2
"1042","Cirsium arvense","Bombus lapidarius","Interaction",NA,2
"1043","Filipendula ulmaria","Bombus lapidarius","Interaction",NA,2
"1044","Galium verum","Bombus lapidarius","Interaction",NA,0
"1045","Hypochoeris radicata","Bombus lapidarius","Interaction",NA,4
"1046","Primula veris","Bombus lapidarius","Interaction",NA,1
"1047","Lotus corniculatus","Bombus lapidarius","Interaction",NA,3
"1048","Lathyrus pratensis","Bombus lapidarius","Interaction",NA,0
"1049","Orchis morio","Bombus lapidarius","Interaction",NA,0
"1050","Taraxacum officinale","Bombus lapidarius","Interaction",NA,0
"1051","Trifolium repens","Bombus lapidarius","Interaction",NA,0
"1052","Cerastium fontanum","Bombus lapidarius","Interaction",NA,0
"1053","Trifolium dubium","Bombus lapidarius","Interaction",NA,1
"1054","Centaurea nigra","Maniola jurtina","Interaction",NA,110
"1055","Leucanthemum vulgare","Maniola jurtina","Interaction",NA,31
"1056","Cirsium palustre","Maniola jurtina","Interaction",NA,0
"1057","Ranunculus acris","Maniola jurtina","Interaction",NA,1
"1058","Cirsium arvense","Maniola jurtina","Interaction",NA,6
"1059","Filipendula ulmaria","Maniola jurtina","Interaction",NA,0
"1060","Galium verum","Maniola jurtina","Interaction",NA,0
"1061","Hypochoeris radicata","Maniola jurtina","Interaction",NA,0
"1062","Primula veris","Maniola jurtina","Interaction",NA,0
"1063","Lotus corniculatus","Maniola jurtina","Interaction",NA,0
"1064","Lathyrus pratensis","Maniola jurtina","Interaction",NA,0
"1065","Orchis morio","Maniola jurtina","Interaction",NA,0
"1066","Taraxacum officinale","Maniola jurtina","Interaction",NA,0
"1067","Trifolium repens","Maniola jurtina","Interaction",NA,0
"1068","Cerastium fontanum","Maniola jurtina","Interaction",NA,0
"1069","Trifolium dubium","Maniola jurtina","Interaction",NA,0
"1070","Centaurea nigra","Bombus pascuorum","Interaction",NA,35
"1071","Leucanthemum vulgare","Bombus pascuorum","Interaction",NA,0
"1072","Cirsium palustre","Bombus pascuorum","Interaction",NA,3
"1073","Ranunculus acris","Bombus pascuorum","Interaction",NA,1
"1074","Cirsium arvense","Bombus pascuorum","Interaction",NA,0
"1075","Filipendula ulmaria","Bombus pascuorum","Interaction",NA,0
"1076","Galium verum","Bombus pascuorum","Interaction",NA,0
"1077","Hypochoeris radicata","Bombus pascuorum","Interaction",NA,0
"1078","Primula veris","Bombus pascuorum","Interaction",NA,0
"1079","Lotus corniculatus","Bombus pascuorum","Interaction",NA,2
"1080","Lathyrus pratensis","Bombus pascuorum","Interaction",NA,4
"1081","Orchis morio","Bombus pascuorum","Interaction",NA,1
"1082","Taraxacum officinale","Bombus pascuorum","Interaction",NA,0
"1083","Trifolium repens","Bombus pascuorum","Interaction",NA,2
"1084","Cerastium fontanum","Bombus pascuorum","Interaction",NA,0
"1085","Trifolium dubium","Bombus pascuorum","Interaction",NA,0
"1086","Centaurea nigra","Calocoris bipunctatus","Interaction",NA,36
"1087","Leucanthemum vulgare","Calocoris bipunctatus","Interaction",NA,0
"1088","Cirsium palustre","Calocoris bipunctatus","Interaction",NA,0
"1089","Ranunculus acris","Calocoris bipunctatus","Interaction",NA,0
"1090","Cirsium arvense","Calocoris bipunctatus","Interaction",NA,1
"1091","Filipendula ulmaria","Calocoris bipunctatus","Interaction",NA,0
"1092","Galium verum","Calocoris bipunctatus","Interaction",NA,0
"1093","Hypochoeris radicata","Calocoris bipunctatus","Interaction",NA,0
"1094","Primula veris","Calocoris bipunctatus","Interaction",NA,0
"1095","Lotus corniculatus","Calocoris bipunctatus","Interaction",NA,0
"1096","Lathyrus pratensis","Calocoris bipunctatus","Interaction",NA,0
"1097","Orchis morio","Calocoris bipunctatus","Interaction",NA,0
"1098","Taraxacum officinale","Calocoris bipunctatus","Interaction",NA,0
"1099","Trifolium repens","Calocoris bipunctatus","Interaction",NA,0
"1100","Cerastium fontanum","Calocoris bipunctatus","Interaction",NA,0
"1101","Trifolium dubium","Calocoris bipunctatus","Interaction",NA,0
"1102","Centaurea nigra","Empis livida","Interaction",NA,11
"1103","Leucanthemum vulgare","Empis livida","Interaction",NA,20
"1104","Cirsium palustre","Empis livida","Interaction",NA,0
"1105","Ranunculus acris","Empis livida","Interaction",NA,0
"1106","Cirsium arvense","Empis livida","Interaction",NA,1
"1107","Filipendula ulmaria","Empis livida","Interaction",NA,0
"1108","Galium verum","Empis livida","Interaction",NA,0
"1109","Hypochoeris radicata","Empis livida","Interaction",NA,0
"1110","Primula veris","Empis livida","Interaction",NA,0
"1111","Lotus corniculatus","Empis livida","Interaction",NA,0
"1112","Lathyrus pratensis","Empis livida","Interaction",NA,0
"1113","Orchis morio","Empis livida","Interaction",NA,0
"1114","Taraxacum officinale","Empis livida","Interaction",NA,0
"1115","Trifolium repens","Empis livida","Interaction",NA,0
"1116","Cerastium fontanum","Empis livida","Interaction",NA,0
"1117","Trifolium dubium","Empis livida","Interaction",NA,0
"1118","Centaurea nigra","Psithyrus vest","Interaction",NA,12
"1119","Leucanthemum vulgare","Psithyrus vest","Interaction",NA,3
"1120","Cirsium palustre","Psithyrus vest","Interaction",NA,8
"1121","Ranunculus acris","Psithyrus vest","Interaction",NA,0
"1122","Cirsium arvense","Psithyrus vest","Interaction",NA,0
"1123","Filipendula ulmaria","Psithyrus vest","Interaction",NA,0
"1124","Galium verum","Psithyrus vest","Interaction",NA,0
"1125","Hypochoeris radicata","Psithyrus vest","Interaction",NA,0
"1126","Primula veris","Psithyrus vest","Interaction",NA,0
"1127","Lotus corniculatus","Psithyrus vest","Interaction",NA,0
"1128","Lathyrus pratensis","Psithyrus vest","Interaction",NA,0
"1129","Orchis morio","Psithyrus vest","Interaction",NA,0
"1130","Taraxacum officinale","Psithyrus vest","Interaction",NA,0
"1131","Trifolium repens","Psithyrus vest","Interaction",NA,0
"1132","Cerastium fontanum","Psithyrus vest","Interaction",NA,0
"1133","Trifolium dubium","Psithyrus vest","Interaction",NA,0
"1134","Centaurea nigra","Episyrphus balteatus","Interaction",NA,8
"1135","Leucanthemum vulgare","Episyrphus balteatus","Interaction",NA,0
"1136","Cirsium palustre","Episyrphus balteatus","Interaction",NA,0
"1137","Ranunculus acris","Episyrphus balteatus","Interaction",NA,0
"1138","Cirsium arvense","Episyrphus balteatus","Interaction",NA,0
"1139","Filipendula ulmaria","Episyrphus balteatus","Interaction",NA,4
"1140","Galium verum","Episyrphus balteatus","Interaction",NA,6
"1141","Hypochoeris radicata","Episyrphus balteatus","Interaction",NA,2
"1142","Primula veris","Episyrphus balteatus","Interaction",NA,0
"1143","Lotus corniculatus","Episyrphus balteatus","Interaction",NA,0
"1144","Lathyrus pratensis","Episyrphus balteatus","Interaction",NA,0
"1145","Orchis morio","Episyrphus balteatus","Interaction",NA,1
"1146","Taraxacum officinale","Episyrphus balteatus","Interaction",NA,0
"1147","Trifolium repens","Episyrphus balteatus","Interaction",NA,0
"1148","Cerastium fontanum","Episyrphus balteatus","Interaction",NA,0
"1149","Trifolium dubium","Episyrphus balteatus","Interaction",NA,0
"1150","Centaurea nigra","Bombus pratorum","Interaction",NA,8
"1151","Leucanthemum vulgare","Bombus pratorum","Interaction",NA,5
"1152","Cirsium palustre","Bombus pratorum","Interaction",NA,4
"1153","Ranunculus acris","Bombus pratorum","Interaction",NA,0
"1154","Cirsium arvense","Bombus pratorum","Interaction",NA,0
"1155","Filipendula ulmaria","Bombus pratorum","Interaction",NA,0
"1156","Galium verum","Bombus pratorum","Interaction",NA,0
"1157","Hypochoeris radicata","Bombus pratorum","Interaction",NA,0
"1158","Primula veris","Bombus pratorum","Interaction",NA,0
"1159","Lotus corniculatus","Bombus pratorum","Interaction",NA,0
"1160","Lathyrus pratensis","Bombus pratorum","Interaction",NA,0
"1161","Orchis morio","Bombus pratorum","Interaction",NA,0
"1162","Taraxacum officinale","Bombus pratorum","Interaction",NA,0
"1163","Trifolium repens","Bombus pratorum","Interaction",NA,0
"1164","Cerastium fontanum","Bombus pratorum","Interaction",NA,0
"1165","Trifolium dubium","Bombus pratorum","Interaction",NA,0
"1166","Centaurea nigra","Apis mellifera","Interaction",NA,14
"1167","Leucanthemum vulgare","Apis mellifera","Interaction",NA,0
"1168","Cirsium palustre","Apis mellifera","Interaction",NA,0
"1169","Ranunculus acris","Apis mellifera","Interaction",NA,0
"1170","Cirsium arvense","Apis mellifera","Interaction",NA,0
"1171","Filipendula ulmaria","Apis mellifera","Interaction",NA,0
"1172","Galium verum","Apis mellifera","Interaction",NA,0
"1173","Hypochoeris radicata","Apis mellifera","Interaction",NA,0
"1174","Primula veris","Apis mellifera","Interaction",NA,0
"1175","Lotus corniculatus","Apis mellifera","Interaction",NA,0
"1176","Lathyrus pratensis","Apis mellifera","Interaction",NA,0
"1177","Orchis morio","Apis mellifera","Interaction",NA,0
"1178","Taraxacum officinale","Apis mellifera","Interaction",NA,0
"1179","Trifolium repens","Apis mellifera","Interaction",NA,0
"1180","Cerastium fontanum","Apis mellifera","Interaction",NA,0
"1181","Trifolium dubium","Apis mellifera","Interaction",NA,0
"1182","Centaurea nigra","Bombus terrestris lucorum","Interaction",NA,8
"1183","Leucanthemum vulgare","Bombus terrestris lucorum","Interaction",NA,5
"1184","Cirsium palustre","Bombus terrestris lucorum","Interaction",NA,0
"1185","Ranunculus acris","Bombus terrestris lucorum","Interaction",NA,0
"1186","Cirsium arvense","Bombus terrestris lucorum","Interaction",NA,0
"1187","Filipendula ulmaria","Bombus terrestris lucorum","Interaction",NA,0
"1188","Galium verum","Bombus terrestris lucorum","Interaction",NA,0
"1189","Hypochoeris radicata","Bombus terrestris lucorum","Interaction",NA,0
"1190","Primula veris","Bombus terrestris lucorum","Interaction",NA,1
"1191","Lotus corniculatus","Bombus terrestris lucorum","Interaction",NA,0
"1192","Lathyrus pratensis","Bombus terrestris lucorum","Interaction",NA,0
"1193","Orchis morio","Bombus terrestris lucorum","Interaction",NA,0
"1194","Taraxacum officinale","Bombus terrestris lucorum","Interaction",NA,0
"1195","Trifolium repens","Bombus terrestris lucorum","Interaction",NA,0
"1196","Cerastium fontanum","Bombus terrestris lucorum","Interaction",NA,0
"1197","Trifolium dubium","Bombus terrestris lucorum","Interaction",NA,0
"1198","Centaurea nigra","Eristalis tenax","Interaction",NA,3
"1199","Leucanthemum vulgare","Eristalis tenax","Interaction",NA,9
"1200","Cirsium palustre","Eristalis tenax","Interaction",NA,0
"1201","Ranunculus acris","Eristalis tenax","Interaction",NA,0
"1202","Cirsium arvense","Eristalis tenax","Interaction",NA,0
"1203","Filipendula ulmaria","Eristalis tenax","Interaction",NA,1
"1204","Galium verum","Eristalis tenax","Interaction",NA,0
"1205","Hypochoeris radicata","Eristalis tenax","Interaction",NA,0
"1206","Primula veris","Eristalis tenax","Interaction",NA,0
"1207","Lotus corniculatus","Eristalis tenax","Interaction",NA,0
"1208","Lathyrus pratensis","Eristalis tenax","Interaction",NA,0
"1209","Orchis morio","Eristalis tenax","Interaction",NA,0
