"","Species_all","Order_all","Family_all","Genus_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Eigenval"
"855","Melanthium virginicum","Liliales","Melanthiaceae","Melanthium","Hermaphrodite","self_compatible","none",17.4296227855963,"Open","actinomorphic",75,75,100,20,2,3,21,"herb","Perennial",1.1,2.76679710066808e-05
"856","Melastoma malabathricum","Myrtales","Melastomataceae","Melastoma","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",75,10,180,60,15,25,2172.9,"shrub","Perennial",1,0.000218740041947931
"857","Melicope chapelieri","Sapindales","Rutaceae","Melicope","Dioecious","dioecious","none",0,"Open","actinomorphic",17786.7842166044,20,200,3,0.5,0.5,8,"tree","Perennial",15,0.000274974276543883
"858","Melicope lunu-ankenda","Sapindales","Rutaceae","Melicope","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,200,200,3,0.5,0.5,8,"tree","Perennial",15,0.000276695263822394
"859","Melilotus alba","Fabales","Fabaceae","Melilotus","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",60,20,15,3,4.5,2,5,"herb","Short lived",1.5,0.000871224367458685
"860","Meliosma oldhamii","Proteales","Sabiaceae","Meliosma","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30000,300,200,4,2,0.5,4,"tree","Perennial",10,0.000136632139335081
"861","Meliosma rigida","Proteales","Sabiaceae","Meliosma","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10000,150,100,3,2.1,0.5,4,"tree","Perennial",3.5,0.000136023729217692
"862","Meliosma tenuis","Proteales","Sabiaceae","Meliosma","Hermaphrodite","self_incompatible","low",1.8,"Open","actinomorphic",2500,80,50,5,2,0.5,9.9,"tree","Perennial",2.5,0.000136275540678908
"863","Melochia pyramidata","Malvales","Malvaceae","Melochia","Hermaphrodite","self_compatible","medium",62.7,"Tube","actinomorphic",25,3,15,5.3,6.5,3.1,5.5,"herb","Perennial",0.6,0.000306529260376138
"864","Melochia villosa","Malvales","Malvaceae","Melochia","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",60,2,20,6.7,7.7,6,9,"herb","Perennial",1.15,0.000306216348920909
"865","Memecylon ovatifolium","Myrtales","Melastomataceae","Memecylon","Hermaphrodite","self_compatible","none",19.0976879952842,"Open","actinomorphic",2144.73013091121,15,10,4.1,2.42597894977129,0.5,10,"shrub","Perennial",1.1,0.00021064147773781
"866","Menodora decemfida","Lamiales","Oleaceae","Menodora","Hermaphrodite","self_compatible","none",17.2035855353729,"Campanulate","actinomorphic",300,5,14.5,14.5,6,12.5,8,"shrub","Perennial",0.5,0.00208442973160764
"867","Mentha aquatica","Lamiales","Lamiaceae","Mentha","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",100,30,20,2.5,5,9,4,"herb","Perennial",0.85,0.00314364404952345
"868","Mentha arvensis","Lamiales","Lamiaceae","Mentha","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",80,25,30,3.4,5.5,6.25,4,"herb","Perennial",0.5,0.00309016651776496
"869","Mentha canadensis","Lamiales","Lamiaceae","Mentha","Hermaphrodite","self_compatible","high",54.1336221162561,"Tube","zygomorphic",150,35,15,3.4,5.5,6.25,4,"herb","Perennial",0.5,0.00306847806602884
"870","Mentha pulegium","Lamiales","Lamiaceae","Mentha","Hermaphrodite","self_compatible","high",52.3409962889065,"Tube","zygomorphic",300,30,30,2.5,6,6,4,"herb","Perennial",0.25,0.00308129719868593
"871","Mentzelia albescens","Cornales","Loasaceae","Mentzelia","Hermaphrodite","self_compatible","high",47.8326959938782,"Campanulate","actinomorphic",20,5,7.45,7.45,1.65,6.25,4,"herb","Short lived",0.5,0.00114999624161724
"873","Mertensia virginica","Boraginales","Boraginaceae","Mertensia","Hermaphrodite","self_compatible","none",16.5270344465219,"Funnelform","actinomorphic",15,15,150,21,30,2.45,4,"herb","Perennial",0.5,0.00199707671062473
"874","Miconia ciliata","Myrtales","Melastomataceae","Miconia","Hermaphrodite","self_incompatible","low",0,"Open","actinomorphic",75,75,50,5,2,1.25,104.39,"shrub","Perennial",4,0.000220233953452709
"875","Miconia robinsoniana","Myrtales","Melastomataceae","Miconia","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",200,60,100,13,2,4,270,"shrub","Perennial",3.5,0.000223706541526455
"876","Miconia stephananthera","Myrtales","Melastomataceae","Miconia","Hermaphrodite","self_compatible","none",27.6416389659436,"Open","actinomorphic",200,200,70,1.1,1.1,5,270,"shrub","Perennial",1.5,0.000220165187944691
"877","Micranthes nivalis","Saxifragales","Saxifragaceae","Micranthes","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,10,20,6.5,2.1,1,150,"herb","Perennial",0.065,0.000144730270834566
"878","Microseris lanceolata","Asterales","Asteraceae","Microseris","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,1,17.5,17.5,5,5,20,"herb","Perennial",0.2,0.00579389087831489
"879","Microtea scabrida","Caryophyllales","Phytolaccaceae","Microtea","Hermaphrodite","self_compatible","none",22.332060487683,"Open","actinomorphic",200,20,10,1,1,0.1,1,"vine","Perennial",0.75,0.000975660400184892
"880","Microula sikkimensis","Boraginales","Boraginaceae","Microula","Hermaphrodite","self_compatible","high",51.9568698539493,"Tube","actinomorphic",30,5,18,6,6,3,4,"herb","Short lived",0.355,0.00205573658043858
"881","Mikania psilostachya","Asterales","Asteraceae","Mikania","Hermaphrodite","self_incompatible","none",-16.075849255651,"Capitulum","actinomorphic",30000,500,100,3,6.4,7.1,5,"vine","Perennial",3.81558528702572,0.112760624504271
"882","Mimosa camporum","Fabales","Fabaceae","Mimosa","Hermaphrodite","self_compatible","low",7.47,"Brush","actinomorphic",500,50,50,50,29.1,7.5,6.5,"herb","Short lived",0.35,0.000689196523656975
"883","Mimosa hexandra","Fabales","Fabaceae","Mimosa","Hermaphrodite","self_compatible","none",25.477146244627,"Tube","actinomorphic",1600,40,50,1,2,7.5,6.5,"shrub","Perennial",2,0.000689196523656972
"884","Mimosa sensibilis","Fabales","Fabaceae","Mimosa","Hermaphrodite","self_compatible","none",12.5022538218915,"Brush","actinomorphic",1000,25,50,1,2,7.5,6.5,"shrub","Perennial",1.25,0.00068919652365697
"885","Mimulus alatus","Lamiales","Phrymaceae","Mimulus","Hermaphrodite","self_compatible","high",49.1997045550025,"Tube","zygomorphic",10,2,50,11,22.5,7,380.186165945879,"herb","Perennial",0.75,0.00245033176056417
"886","Mimulus moschatus","Lamiales","Phrymaceae","Mimulus","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",2,2,50,17,20,8.5,290,"herb","Perennial",0.2,0.0024809754945695
"887","Mimulus ringens","Lamiales","Phrymaceae","Mimulus","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,1,60,10,15,13,6000,"herb","Perennial",0.6,0.00247000779403101
"888","Mimusops erythroxylon","Ericales","Sapotaceae","Mimusops","Hermaphrodite","dioecious","none",1.60798847290686,"Open","actinomorphic",12042.8057858529,5,40,15,10,5,7,"tree","Perennial",16,0.00121353828851469
"889","Mimusops sechellarum","Ericales","Sapotaceae","Mimusops","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",8517.62807091703,15,40,15,8,4,7,"tree","Perennial",16,0.00121251542433246
"890","Mirabilis jalapa","Caryophyllales","Nyctaginaceae","Mirabilis","Hermaphrodite","self_compatible","medium",57,"Tube","actinomorphic",50,15,35,35,45,37.5,1,"herb","Perennial",0.5,0.00104747756845996
"891","Mirabilis ovata","Caryophyllales","Nyctaginaceae","Mirabilis","Hermaphrodite","self_compatible","none",32.9343630423762,"Campanulate","actinomorphic",50,3,20,10,10,18,1,"herb","Perennial",0.5,0.00104689808960491
"892","Molinaea arborea","Sapindales","Sapindaceae","Molinaea","Monoecious","monoecious","none",0,"Open","actinomorphic",12347.8145067678,150,40,5.5,5.5,0.5,3,"tree","Perennial",10,0.00024593189499091
"893","Molinaea macrantha","Sapindales","Sapindaceae","Molinaea","Monoecious","monoecious","none",0,"Open","actinomorphic",500,40,40,5.5,5.5,0.5,3,"shrub","Perennial",10,0.000245282952509977
"894","Mollugo flavescens","Caryophyllales","Molluginaceae","Mollugo","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",100,20,150,31.12,2,3,30,"herb","Short lived",0.25,0.00106099901296309
"895","Mollugo snodgrassii","Caryophyllales","Molluginaceae","Mollugo snodgrassii","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,2,8,8,2,2,30,"herb","Perennial",0.25,0.00106192268966597
"896","Mollugo verticillata","Caryophyllales","Molluginaceae","Mollugo","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,30,20,4.5,1.5,0.4,30,"herb","Short lived",0.15,0.00106025293034437
"897","Momordica charantia","Cucurbitales","Cucurbitaceae","Momordica","Monoecious","monoecious","none",0,"Open","actinomorphic",10,1,32,32,5,2.5,48,"vine","Short lived",2.5,0.000514380275454514
"898","Monarda bradburiana","Lamiales","Lamiaceae","Monarda","Hermaphrodite","self_compatible","low",43.4172878275752,"Tube","zygomorphic",14,14,75,30,30,30,4,"herb","Perennial",0.45,0.00320989401307242
"899","Montia australasica","Caryophyllales","Montiaceae","Montia","Hermaphrodite","self_compatible","none",26.4240715431707,"Open","actinomorphic",15,1,9,9,4.5,2,4.5,"herb","Perennial",0.15,0.00106476077121769
"900","Montrichardia arborescens","Alismatales","Araceae","Montrichardia","Monoecious","monoecious","low",13,"Spike","zygomorphic",60,60,14.1,1,1,0.1,1,"shrub","Perennial",2.25,1.7568227907931e-05
"901","Monttea aphylla","Lamiales","Plantaginaceae","Monttea","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",250,12,54,18,15.5,6,1,"shrub","Perennial",1.5,0.00213268908515402
"902","Morina nepalensis","Dipsacales","Caprifoliaceae","Morina","Hermaphrodite","self_compatible","high",48.9099928700637,"Tube","zygomorphic",60,60,35,12.5,22,15,1,"herb","Perennial",0.3,0.00343593117642786
"903","Morinda citrifolia","Gentianales","Rubiaceae","Morinda","Hermaphrodite","self_compatible","none",28.0860978911234,"Tube","actinomorphic",1200,60,50,10,15,15,2,"tree","Perennial",6.5,0.00181458311275974
"904","Morinda umbellata","Gentianales","Rubiaceae","Morinda","Dioecious","dioecious","none",15.0770509155854,"Tube","actinomorphic",500,30,10,2.2,2.2,2,2,"vine","Perennial",10,0.00183415221176635
"905","Mosla dianthera","Lamiales","Lamiaceae","Mosla","Hermaphrodite","self_compatible","high",67.1205252560091,"Tube","zygomorphic",100,20,15,4,3.1,4,3.1,"herb","Short lived",0.15,0.00285129533537147
"906","Muehlenbeckia axillaris","Caryophyllales","Polygonaceae","Muehlenbeckia","Dioecious","dioecious","none",0,"Open","actinomorphic",100,3,15,5.1,0.6,1,1,"shrub","Perennial",0.25,0.000973511191828827
"907","Muehlenbeckia complexa","Caryophyllales","Polygonaceae","Muehlenbeckia","Dioecious","dioecious","none",0,"Open","actinomorphic",150,3,15,3.5,0.5,1,1,"vine","Perennial",2.75,0.00097515836925197
"909","Murbeckiella pinnatifida","Brassicales","Brassicaceae","Murbeckiella","Hermaphrodite","self_compatible","high",53.9122002805958,"Tube","actinomorphic",75,5,10,1.5,2.1,0.25,29,"herb","Short lived",0.15,0.000346814215461517
"910","Murdannia nudiflora","Commelinales","Commelinaceae","Murdannia","Hermaphrodite","self_compatible","high",96,"Open","actinomorphic",15,1,9,9,1.5,0.9,6,"herb","Short lived",0.15,4.42592799623973e-05
"911","Musa balbisiana","Zingiberales","Musaceae","Musa","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,60,100,10,40,40,250,"herb","Perennial",4,4.6854645443972e-05
"912","Mussaenda parviflora","Gentianales","Rubiaceae","Mussaenda","Dioecious","self_incompatible","none",0,"Tube","actinomorphic",35,5,50,11.35,13.4,13,929.5,"shrub","Perennial",4,0.00168609612829515
"913","Mycelis muralis","Asterales","Asteraceae","Mycelis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",70,70,7.5,7.5,13.5,13.5,5,"herb","Perennial",0.55,0.00493832635708523
"914","Myosotis","Boraginales","Boraginaceae","Myosotis","Hermaphrodite","partially_self_compatible","none",21.3027706595309,"Open","actinomorphic",26,26,27,17.3411023396993,11.6820400919624,2.25,4,"herb","Perennial",0.3,0.00205522767370889
"915","Myosotis scorpioides","Boraginales","Boraginaceae","Myosotis","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,40,27,9,1.5,2.25,4,"herb","Perennial",0.4,0.00204966482079621
"916","Myosotis verna","Boraginales","Boraginaceae","Myosotis","Hermaphrodite","partially_self_compatible","high",43.3552339276318,"Tube","actinomorphic",30,8,10,1.5,1,0.5,4,"herb","Short lived",0.2,0.00205237402437711
"917","Myosurus minimus","Ranunculales","Ranunculaceae","Myosurus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",25,1,6.5,6.5,1,0.45,400,"herb","Short lived",0.75,0.000118781999950196
"918","Myrsine seguinii","Ericales","Primulaceae","Myrsine","Hermaphrodite","self_compatible","none",15.2449643536274,"Open","actinomorphic",3500,35,15,3,1,1,3,"tree","Perennial",7,0.00125184004480656
"920","Myrtus communis","Myrtales","Myrtaceae","Myrtus","Hermaphrodite","self_compatible","medium",49,"Open","actinomorphic",500,3,25,25,3.75,15,72,"shrub","Perennial",2.5,0.000203055416352889
"922","Nabalus crepidineus","Asterales","Asteraceae","Nabalus","Hermaphrodite","self_incompatible","none",5.47141940279737,"Capitulum","actinomorphic",45,15,75,16,16,20,9,"herb","Perennial",1.8,0.00628043754712713
"923","Nelumbo lutea","Proteales","Nelumbonaceae","Nelumbo","Hermaphrodite","self_compatible","low",18.3,"Open","actinomorphic",1,1,150,150,40,0.5,24.9,"herb","Perennial",1.35,0.000133303653251351
"924","Nematolepis ovatifolia","Sapindales","Rutaceae","Nematolepis","Hermaphrodite","self_compatible","none",15.9165306311685,"Open","actinomorphic",50,2,50,10,1,2,10,"shrub","Perennial",0.5,0.00026685503209329
"925","Nemopanthus mucronatus","Aquifoliales","Aquifoliaceae","Nemopanthus","Dioecious","dioecious","none",0,"Open","actinomorphic",35,1,75,5.1,2.5,0.1,24.5,"shrub","Perennial",2.4,0.00321978148962032
"926","Nepenthes pervillei","Caryophyllales","Nepenthaceae","Nepenthes","Dioecious","dioecious","none",0,"Tube","actinomorphic",1,1,19.1,19.1,28.2,1,24,"vine","Perennial",5.1,0.000918338217273314
"927","Nepeta cataria","Lamiales","Lamiaceae","Nepeta","Hermaphrodite","self_compatible","medium",63.7,"Tube","zygomorphic",50,50,35,4.25,8.5,7.1,4,"herb","Perennial",0.6,0.003050470679813
"928","Nepeta laevigata","Lamiales","Lamiaceae","Nepeta","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",60,60,12,4,10,10,4,"herb","Perennial",0.575,0.00299954824149222
"929","Nepeta stewartiana","Lamiales","Lamiaceae","Nepeta","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",40,40,30,15,22.5,10,4,"herb","Perennial",1,0.00305047064098649
"931","Neptunia plena","Fabales","Fabaceae","Neptunia","Hermaphrodite","self_compatible","none",26.1991702982342,"Campanulate","actinomorphic",200,40,20,1,10,6,19.1,"herb","Perennial",1,0.000679611174176967
"932","Nolana galapagensis","Solanales","Solanaceae","Nolana","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",5000,5,50,8,16,7,30,"shrub","Perennial",1,0.00149918763858342
"933","Northia seychellana","Ericales","Sapotaceae","Northea","Hermaphrodite","self_compatible","none",6.99306512801959,"Campanulate","actinomorphic",9045.74772577839,50,50,12,6.5,8,5,"tree","Perennial",12,0.00121113128297459
"934","Nothoscordum bivalve","Asparagales","Amaryllidaceae","Nothoscordum","Hermaphrodite","self_compatible","high",80,"Open","actinomorphic",15,5,15,3.5,0.7,3.25,18,"herb","Perennial",0.125,7.27516136756081e-05
"935","Notopora schomburgkii","Ericales","Ericaceae","Notopora","Hermaphrodite","self_incompatible","low",1.5,"Open","actinomorphic",1915.86380457885,87.3807981165395,150,5,15,15,522.397327662367,"herb","Perennial",2.05183307731614,0.001346059500634
"936","Nuphar advena","Nymphaeales","Nymphaeaceae","Nuphar","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",20,1,40,40,24,0,300,"herb","Perennial",0.75,2.0883441087817e-07
"937","Nymphaea odorata","Nymphaeales","Nymphaeaceae","Nymphaea","Hermaphrodite","self_compatible","none",5.2525330960889,"Open","actinomorphic",1,1,125,125,62.5,1.5,112.5,"herb","Perennial",0.225,3.63104749027206e-07
"938","Ochna kirkii","Malpighiales","Ochnaceae","Ochna","Hermaphrodite","self_incompatible","none",8.74421239599004,"Open","actinomorphic",50,12,45,45,11.1,13,9,"shrub","Perennial",1.2,0.000412265063034903
"939","Ochna mauritiana","Malpighiales","Ochnaceae","Ochna","Hermaphrodite","self_incompatible","none",7.93674817662521,"Open","actinomorphic",120,10,100,19.1,5,1.5,9,"shrub","Perennial",4.75,0.000411546010886038
"940","Oenothera biennis","Myrtales","Onagraceae","Oenothera","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",5,5,120,37.5,60,42.5,536,"herb","Short lived",0.7,0.000192491798085411
"941","Oenothera fruticosa","Myrtales","Onagraceae","Oenothera","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",5,5,120,29.1,10,15,148,"herb","Perennial",0.45,0.000191682137652743
"942","Olea lancea","Lamiales","Oleaceae","Olea","Hermaphrodite","partially_self_compatible","none",13.7684396482291,"Open","actinomorphic",6000,60,30,4,0.5,0.5,4,"tree","Perennial",4,0.00209784990488214
"943","Olearia bullata","Asterales","Asteraceae","Olearia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1000,12,50,13,7.5,4.35,9.5,"shrub","Perennial",2,0.0105564705034216
"944","Olearia phlogopappa","Asterales","Asteraceae","Olearia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",25,25,100,22.5,8,8,9.5,"shrub","Perennial",0.75,0.0106261688064238
"945","Olearia virgata","Asterales","Asteraceae","Olearia","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3600,10,40,4,1,4,9.5,"tree","Perennial",4,0.0106040240393141
"946","Omphalodes japonica","Boraginales","Boraginaceae","Omphalodes","Hermaphrodite","self_compatible","none",26.5046752242502,"Open","actinomorphic",25,5,9,9,2,0.5,4,"herb","Perennial",0.14,0.00206277596886198
"947","Onosma confertum","Boraginales","Boraginaceae","Onosma","Hermaphrodite","self_compatible","none",34.0610083380537,"Tube","actinomorphic",50,5,20,7.5,14.5,15.5,4,"herb","Perennial",0.5,0.00198590099377397
"948","Opuntia echios","Caryophyllales","Cactaceae","Opuntia","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",100,1,67.47,67.47,25.33,26.5,300,"tree","Perennial",2.75,0.00111495576330266
"949","Opuntia elatior","Caryophyllales","Cactaceae","Opuntia","Hermaphrodite","self_compatible","none",20.0587930465884,"Open","actinomorphic",30,1,40,40,20,22.5,270,"shrub","Perennial",2,0.00111564069531115
"950","Opuntia galapageia","Caryophyllales","Cactaceae","Opuntia","Hermaphrodite","self_compatible","none",4.73944263086018,"Open","actinomorphic",75,1,100,100,25,22.5,270,"tree","Perennial",4.5,0.00111532715102289
"951","Opuntia helleri","Caryophyllales","Cactaceae","Opuntia","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,1,42.5,42.5,60,22.5,270,"shrub","Perennial",1,0.00111221401280216
"954","Opuntia stricta","Caryophyllales","Cactaceae","Opuntia","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",100,1,70,70,25,17.5,270,"herb","Perennial",0.26,0.00111660580881421
"955","Opuntia sulphurea","Caryophyllales","Cactaceae","Opuntia","Hermaphrodite","self_compatible","none",16.28278728226,"Open","actinomorphic",50,1,52.5,52.5,32.5,45,270,"shrub","Perennial",0.18,0.00110002155975169
"956","Origanum vulgare","Lamiales","Lamiaceae","Origanum","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",100,15,35,4,7.5,18.5,4,"herb","Perennial",0.5,0.00305090833527465
"957","Orites lancifolius","Proteales","Proteaceae","Orites","Hermaphrodite","self_compatible","none",24.4801797221702,"Tube","actinomorphic",9500,30,40,5,4.1,8,2,"shrub","Perennial",1,0.000137329280781096
"958","Orixa japonica","Sapindales","Rutaceae","Orixa","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,15,50,5.5,2,1,4,"vine","Perennial",1.5,0.0002725169958438
"959","Ormocarpum cochinchinense","Fabales","Fabaceae","Ormocarpum","Hermaphrodite","self_compatible","high",50.5244484678908,"Papilionaceous","zygomorphic",10,1,17,17,17,18.5,6,"tree","Perennial",3.75,0.000727414813815803
"960","Orobanche uniflora","Lamiales","Orobanchaceae","Orobanche","Hermaphrodite","self_compatible","high",64.9804797579527,"Tube","zygomorphic",5,1,8.5,8.5,23.5,7,12,"herb","Short lived",0.125,0.00249280878376566
"961","Osmorhiza longistylis","Apiales","Apiaceae","Osmorhiza","Hermaphrodite","self_compatible","none",33.5236827324641,"Open","actinomorphic",60,60,50,3,2,3,2,"herb","Perennial",0.55,0.00407324208604794
"962","Ostericum sieboldii","Apiales","Apiaceae","Ostericum","Hermaphrodite","self_compatible","none",22.0733198988145,"Open","actinomorphic",200,200,75,2.5,0.5,0.5,2,"herb","Perennial",1,0.00425737926154205
"964","Ourisia macrocarpa","Lamiales","Plantaginaceae","Ourisia","Hermaphrodite","self_compatible","medium",33,"Open","actinomorphic",20,7,100,25.6,24.2,5.3,224,"herb","Perennial",0.5,0.00212913217624669
"966","Oxalis stricta","Oxalidales","Oxalidaceae","Oxalis","Hermaphrodite","self_compatible","medium",30,"Open","actinomorphic",20,1,5.1,5.1,1.3,1,71,"herb","Perennial",1.65,0.000389636221820639
"967","Oxalis violacea","Oxalidales","Oxalidaceae","Oxalis","Hermaphrodite","self_incompatible","low",13,"Campanulate","actinomorphic",20,1,200,50,24.1,0.75,71,"herb","Perennial",0.15,0.00038783951286453
"968","Oxylobium ellipticum","Fabales","Fabaceae","Oxylobium","Hermaphrodite","self_compatible","high",51.7044887468314,"Papilionaceous","zygomorphic",200,40,55,7.1,9,5,9,"shrub","Perennial",1,0.000650762010217022
"969","Oxypolis rigidior","Apiales","Apiaceae","Oxypolis","Hermaphrodite","self_compatible","none",18.55085765175,"Open","actinomorphic",300,300,120,3,0.4,0.5,2,"herb","Perennial",1.05,0.00402692712764984
"970","Ozothamnus leptophyllus","Asterales","Asteraceae","Ozothamnus","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",600,15,25,2.5,2.5,3.15,5,"shrub","Perennial",2.75,0.0223792660166276
"971","Paederia foetida","Gentianales","Rubiaceae","Paederia","Hermaphrodite","self_incompatible","low",2.5,"Campanulate","actinomorphic",50,15,10,10,10,9.5,2,"vine","Perennial",4.5,0.00185722482944564
"972","Paeonia obovata","Saxifragales","Paeoniaceae","Paeonia","Hermaphrodite","self_compatible","none",20.561853267117,"Open","actinomorphic",15,1,20,20,40,3,73,"herb","Perennial",0.5,0.000141223416143408
"973","Pagameopsis garryoides","Gentianales","Rubiaceae","Pagameopsis","Hermaphrodite","self_compatible","none",15.4888407062576,"Open","actinomorphic",2154.01812503444,50,42.4205613229558,18.684989754219,12.7694541364808,7.01317736528213,2,"shrub","Perennial",1.97800427781896,0.00165699910037792
"974","Pandanus barkleyi","Pandanales","Pandanaceae","Pandanus","Dioecious","dioecious","none",0,"Open","actinomorphic",300,100,100,2,2,1,1,"shrub","Perennial",4.5,2.75742181266581e-05
"975","Pandanus odorifer","Pandanales","Pandanaceae","Pandanus","Dioecious","dioecious","none",0,"Brush","actinomorphic",1500,500,100,2,2,1,1,"shrub","Perennial",1,2.18598834110908e-05
"976","Pandanus rigidifolius","Pandanales","Pandanaceae","Pandanus","Monoecious","monoecious","none",0,"Open","actinomorphic",900,300,100,2,2,1,1,"shrub","Perennial",2.5,2.18990605183104e-05
"977","Pandanus wiehei","Malpighiales","Pandaceae","Pandanus","Monoecious","monoecious","none",0,"Open","actinomorphic",1200,400,100,2,2,1,1,"herb","Perennial",4,2.35431548970555e-05
"978","Panicum virgatum","Poales","Poaceae","Panicum","Hermaphrodite","self_incompatible","low",13,"Open","zygomorphic",300,300,40,1.85,5.25,0.5,1,"herb","Perennial",1.25,6.46943793463025e-05
"979","Papaver radicatum","Ranunculales","Papaveraceae","papaver","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,1,16,16,2.1,0,700,"herb","Perennial",0.2,8.8752812703446e-05
"980","Paragenipa wrightii","Gentianales","Rubiaceae","Paragenipa","Hermaphrodite","self_compatible","none",15.364988042921,"Campanulate","actinomorphic",10,2,10,10,5.5,5,151.800964787738,"tree","Perennial",5.5,0.00173321496457777
"981","Parahebe lyallii","Lamiales","Plantaginaceae","Parahebe","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",100,15,50,11.5,6.9,4,25,"herb","Perennial",0.15,0.00230881912988125
"982","Paraserianthes serratifolia","Fabales","Fabaceae","Paraserianthes","Hermaphrodite","dioecious","none",0.880373254891104,"Brush","actinomorphic",13317.3659561053,200,75,5,5.25,20,288.850675375294,"tree","Perennial",13,0.000689196523656983
"983","Parkinsonia aculeata","Fabales","Fabaceae","Parkinsonia","Hermaphrodite","self_compatible","low",5.7,"Papilionaceous","zygomorphic",10000,25,75,25,5,4,9,"tree","Perennial",6,0.000670610105787257
"984","Parkinsonia praecox","Fabales","Fabaceae","Parkinsonia","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",5000,5,75,17.5,5,4,9,"tree","Perennial",4,0.000670610105787257
"985","Parnassia palustris","Celastrales","Celastraceae","Parnassia","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,1,25,25,11.4026216937246,1,225,"herb","Perennial",0.15,0.000385811686214381
"986","Parthenium integrifolium","Asterales","Asteraceae","Parthenium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",90,90,175,8,3.1,3.5,30,"herb","Perennial",0.75,0.0389974804655489
"987","Parthenocissus quinquefolia","Vitales","Vitaceae","Parthenocissus","Hermaphrodite","self_compatible","none",12.28886615181,"Open","actinomorphic",1000,60,70,6,4,0.5,4,"vine","Perennial",9,0.000156405791701697
"988","Passiflora foetida","Malpighiales","Passifloraceae","Passiflora","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",10,1,40,40,4,7,2.2,"vine","Short lived",3,0.000499453481325638
"989","Passiflora lutea","Malpighiales","Passifloraceae","Passiflora","Hermaphrodite","partially_self_compatible","low",6.25,"Open","actinomorphic",10,1,24,24,1.2,3.25,10,"vine","Perennial",2,0.000500939009965984
"990","Passiflora suberosa","Malpighiales","Passifloraceae","Passiflora","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",10,1,19,19,1,4,23.1,"vine","Perennial",0.3,0.000500852810992388
"991","Pastinaca sativa","Apiales","Apiaceae","Pastinaca","Monoecious","self_compatible","none",29.9430882960441,"Open","actinomorphic",175,175,100,4.1,31.12,1,2,"herb","Short lived",0.9,0.00422406744731431
"992","Patrinia villosa","Dipsacales","Caprifoliaceae","Patrinia","Hermaphrodite","self_compatible","none",24.8006612386884,"Campanulate","actinomorphic",175,175,30,6,2.05,5,126.525488041156,"herb","Perennial",0.85,0.00355596138448688
