"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Nectar_concentration","Pollen_per_flower"
"Glochidion zeylanicum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion zeylanicum","Monoecious","monoecious","none",0,"Open","actinomorphic",500,20,4,2,3.5,11,"shrub","Perennial",3.5,"no",0,0,4336
"Grangeria borbonica","Malpighiales","Chrysobalanaceae","Grangeria","Grangeria borbonica","Hermaphrodite","self_compatible","low",6.765225,"Open","actinomorphic",100,60,16,5,3.5,2,"tree","Perennial",6,"no",0,0,245795.73
"Halenia elliptica","Gentianales","Gentianaceae","Halenia","Halenia elliptica","Hermaphrodite","self_compatible","high",100,"Campanulate","actinomorphic",10,24,8,17.5,4,14.5,"herb","Short lived",0.4,"yes",1.1,26.8,6908
"Halimium commutatum","Malvales","Cistaceae","Halimium","Halimium commutatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,19.1,19.1,4,0.5,7,"shrub","Perennial",1.5,"no",0,0,24849
"Halimium halimifolium","Malvales","Cistaceae","Halimium","Halimium halimifolium","Hermaphrodite","self_incompatible","none",1,"Open","actinomorphic",50,28,28,3,1,46,"shrub","Perennial",1,"no",0,0,44051
"Cordemoya integrifolia","Malpighiales","Euphorbiaceae","Hancea","Hancea integrifolia","Monoecious","monoecious","none",0,"Brush","actinomorphic",17611.4,30,10,5,11,3,"tree","Perennial",7.5,"no",0,0,343899.66
"Harrisia balansae","Caryophyllales","Cactaceae","Harrisia","Harrisia balansae","Hermaphrodite","partially_self_compatible","none",0,"Tube","actinomorphic",10,120,120,175,138,5022,"shrub","Perennial",2.2,"yes",0.2,12.9,2550000
"Harungana madagascariensis","Malpighiales","Hypericaceae","Harungana","Harungana madagascariensis","Hermaphrodite","partially_self_compatible","low",9.42755,"Open","actinomorphic",18000,5.5,5.5,3.59822916666667,1.5,5,"tree","Perennial",12.5,"no",0,0,143596.018966667
"Heliamphora heterodoxa","Ericales","Sarraceniaceae","Heliamphora","Heliamphora heterodoxa","Hermaphrodite","self_compatible","low",12.4446,"Open","actinomorphic",2,30,25.1350833333333,11.9883,10,161.466633333333,"herb","Perennial",0.66069375,"no",0,0,242507.728155
"Helianthus annuus","Asterales","Asteraceae","Helianthus","Helianthus annuus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,26,26,3.1,10,1700,"herb","Short lived",1.5,"yes",0.81,36.1261166666666,42500
"Helianthus divaricatus","Asterales","Asteraceae","Helianthus","Helianthus divaricatus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,57,57,6,7,50,"herb","Perennial",0.85,"yes",0.06,43.61,42500
"Helichrysum proteoides","Asterales","Asteraceae","Helichrysum","Helichrysum proteoides","Hermaphrodite","self_compatible","low",17.0644625,"Capitulum","actinomorphic",5,80,10,10,2,30,"herb","Perennial",0.25,"no",0,0,62250
