"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Nectar_concentration","Pollen_per_flower"
"Thalictrum rostellatum","Ranunculales","Ranunculaceae","Thalictrum","Thalictrum rostellatum","Hermaphrodite","self_compatible","low",16.8468625,"Open","actinomorphic",150,20,5,1,3,5.5,"herb","Perennial",0.5,"no",0,0,22750
"Thapsia villosa","Apiales","Apiaceae","Thapsia","Thapsia villosa","Monoecious","self_compatible","low",12.9757,"Open","actinomorphic",250,10,10,2,0.5,1,"herb","Perennial",1,"yes",0.56,11,43160.81975
"Thaspium aureum atropurpurem","Apiales","Apiaceae","Thaspium","Thaspium trifoliatum","Hermaphrodite","partially_self_compatible","low",21.25,"Open","actinomorphic",150,65,2.5,1,1.42,2,"herb","Perennial",0.6,"yes",0.5,7.3,14934
"Thespesia populnea","Malvales","Malvaceae","Thespesia","Thespesia populnea","Hermaphrodite","self_compatible","low",11.315325,"Campanulate","actinomorphic",1000,60,60,60,4,22.5,"tree","Perennial",7.5,"yes",1.2,32,124188.16075
"Thymelaea hirusta","Malvales","Thymelaeaceae","Thymelaea","Thymelaea hirsuta","Dioecious","self_compatible","low",13,"Campanulate","actinomorphic",400,11,3.75,2.5,0.25,1,"shrub","Perennial",1.5,"yes",3e-05,12.6136035,54767.79985
"Tibouchina fraterna","Myrtales","Melastomataceae","Tibouchina","Tibouchina fraterna","Hermaphrodite","self_compatible","low",0,"Open","actinomorphic",150,100,30,5,15,78.77,"shrub","Perennial",2.495275,"no",0,0,547471.365
"Tococa nitens","Myrtales","Melastomataceae","Tococa","Tococa nitens","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1000,60,22,5,12.1,239.83,"shrub","Perennial",3.25,"no",0,0,511901.6325
"Toddalia asiatica","Sapindales","Rutaceae","Toddalia","Toddalia asiatica","Dioecious","dioecious","none",0,"Open","actinomorphic",750,4.9,3.1,1,2,2,"vine","Perennial",8.5,"no",0,0,365992.7111
"Tournefortia psilostachya","Boraginales","Boraginaceae","Tournefortia","Tournefortia psilostachya","Hermaphrodite","self_compatible","low",24.6,"Tube","actinomorphic",2217.675,90,5,5,1,4,"tree","Perennial",0.3,"yes",0.42,8.4,19888
"Tournefortia pubescens","Boraginales","Boraginaceae","Tournefortia","Tournefortia pubescens","Hermaphrodite","self_compatible","low",9.7,"Tube","actinomorphic",500,90,3.26,3.91,1,3.1,"shrub","Perennial",2.5,"yes",0.3,7,19888
"Tournefortia rufo-sericea","Boraginales","Boraginaceae","Tournefortia","Tournefortia rufo-sericea","Hermaphrodite","self_compatible","high",80,"Tube","actinomorphic",1148.69833333333,60,4,5,1,4,"shrub","Perennial",1.5,"yes",0.3,7,19888
"Tradescantia pilosa","Commelinales","Commelinaceae","Tradescantia","Tradescantia subaspera","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",2,25,25,1.5,4,6,"herb","Perennial",0.675,"no",0,0,435711.710166667
"Tradescantia brevicaulis","Commelinales","Commelinaceae","Tradescantia","Tradescantia virginiana","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3,35,35,10,3,6,"herb","Perennial",0.15,"no",0,0,379211.353166667
"Trema orientalis","Rosales","Cannabaceae","Trema","Trema orientalis","Dioecious","dioecious","none",0,"Open","actinomorphic",13391.2546703297,15,3.5,3.5,2.1,1,"tree","Perennial",7.5,"no",0,0,210414.95275
"Tribulus cistoides","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus cistoides","Hermaphrodite","self_compatible","medium",36,"Open","actinomorphic",30,25,25,0.5,4,17.5,"herb","Short lived",2.8,"yes",0.32,22.2,88252
"Trifolium arvense","Fabales","Fabaceae","Trifolium","Trifolium arvense","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",100,20,2,5,4,4,"herb","Short lived",0.25,"yes",0.007,22.78585,320
"Trifolium campestre","Fabales","Fabaceae","Trifolium","Trifolium campestre","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",150,12,3,4.75,1,4,"herb","Short lived",0.15,"no",0,0,366.8
"Trifolium dubium","Fabales","Fabaceae","Trifolium","Trifolium dubium","Hermaphrodite","self_compatible","high",100,"Papilionaceous","actinomorphic",100,20,8.5,8.5,1,2,"herb","Short lived",0.27,"no",0,0,295.8
"Trifolium pratense","Fabales","Fabaceae","Trifolium","Trifolium pratense","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",200,60,6.75,15,7,2.5,"herb","Perennial",0.325,"yes",0.02,38,2856.27
"Trifolium repens","Fabales","Fabaceae","Trifolium","Trifolium repens","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",75,15,3,9,3,4,"herb","Perennial",0.2,"yes",0.7,35,9413.4
"Trillium sessile","Liliales","Melanthiaceae","Trillium","Trillium sessile","Hermaphrodite","self_compatible","low",14.58635,"Open","actinomorphic",1,80,8,25,20,12,"herb","Perennial",0.1,"no",0,0,187631.687766667
"Specularia perfoliata","Asterales","Campanulaceae","Triodanis","Triodanis perfoliata","Hermaphrodite","self_compatible","medium",100,"Open","actinomorphic",20,30,10.5,5.25,4.5,200,"herb","Short lived",0.55,"no",0,0,540
"Tripogandra glandulosa","Commelinales","Commelinaceae","Tripogandra","Tripogandra glandulosa","Hermaphrodite","self_compatible","medium",56.6819553030303,"Open","actinomorphic",50,35,9.5,2.5,2,6,"herb","Short lived",0.25,"no",0,0,81643.654
"Tristhema mauritiana","Myrtales","Melastomataceae","Tristemma","Tristemma mauritianum","Hermaphrodite","self_compatible","low",13.0789,"Open","actinomorphic",50,30,30,7.93913333333333,1.5,52.4145666666667,"herb","Perennial",0.75,"no",0,0,206560.354
"Trochetia blackburniana","Malvales","Malvaceae","Trochetia","Trochetia blackburniana","Hermaphrodite","self_compatible","low",6.4,"Campanulate","actinomorphic",20,30,30,24.1,10,22.5,"shrub","Perennial",2.5,"yes",53.2,23,179596.922083333
"Trollius vaginatus","Ranunculales","Ranunculaceae","Trollius","Trollius vaginatus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",1,30.1,30.1,5,31.12,360,"herb","Perennial",0.075,"no",0,0,2500000
"Trollius yunnanensis","Ranunculales","Ranunculaceae","Trollius","Trollius yunnanensis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",5,23.1,23.1,4,1,360,"herb","Perennial",0.5,"no",0,0,2500000
"Tuberaria guttata","Malvales","Cistaceae","Tuberaria","Tuberaria guttata","Hermaphrodite","self_compatible","high",90,"Open","actinomorphic",5,11.5,11.5,3,1,60,"herb","Short lived",0.15,"no",0,0,5538
"Turraea rigida","Sapindales","Meliaceae","Turraea","Turraea rigida","Hermaphrodite","self_compatible","low",14.0334,"Open","actinomorphic",10,30,30,15,15,6,"tree","Perennial",1.5,"yes",3.1,14.5,115564.808535714
"Ulex australis","Fabales","Fabaceae","Ulex","Ulex parviflorus","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",750,20,2.5,7.25,7,2,"shrub","Perennial",1,"no",0,0,19000
"Vaccinium myrtilloides","Ericales","Ericaceae","Vaccinium","Vaccinium myrtilloides","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","actinomorphic",50,4.4,4.4,6,6,63,"shrub","Perennial",0.4,"yes",0.3,24.39345,20655
"Acacia macracantha","Fabales","Fabaceae","Vachellia","Vachellia macracantha","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10000,10,2,2,3,16,"tree","Perennial",5,"yes",1.3,60,193200.79985
"Valeriana officinalis","Dipsacales","Caprifoliaceae","Valeriana","Valeriana officinalis","Dioecious","self_compatible","low",13,"Tube","zygomorphic",200,26,3.3,5,6.25,1,"herb","Perennial",0.7,"no",0,0,2459
"Vallesia glabra","Gentianales","Apocynaceae","Vallesia","Vallesia glabra","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",500,40,6,7.5,7.5,3,"tree","Perennial",4,"yes",0.24,15.2,22337.6241666667
"Verbascum thapsus","Lamiales","Scrophulariaceae","Verbascum","Verbascum thapsus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,80,27.5,14.5,14.5,3,"herb","Short lived",1,"no",0,0,141932.00725
"Verbena bracteosa","Lamiales","Verbenaceae","Verbena","Verbena bracteata","Hermaphrodite","self_compatible","medium",33,"Tube","zygomorphic",100,10,2.1,7,0.6,4,"herb","Short lived",0.3,"yes",0.02,27.54905,846
"Verbena hastata","Lamiales","Verbenaceae","Verbena","Verbena hastata","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",100,120,4.5,4.4,1.25,5,"herb","Perennial",1.2,"yes",0.02,24.5654,2184
"Verbena stricta","Lamiales","Verbenaceae","Verbena","Verbena stricta","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",250,25,7,6,1.5,5,"herb","Short lived",0.75,"yes",0.09,37.5,3523
"Verbena urticaefolia","Lamiales","Verbenaceae","Verbena","Verbena urticifolia","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",75,70,2.5,3,0.5,5,"herb","Short lived",1,"yes",0.02,23.4668833333333,2184
"Vicia cracca","Fabales","Fabaceae","Vicia","Vicia cracca","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",250,19.5,6.5,11,11,5.5,"vine","Perennial",1,"yes",1.58,44,7467
"Vicea lutea","Fabales","Fabaceae","Vicia","Vicia lutea","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,11.25,11.25,22.5,2,4.5,"herb","Short lived",0.75,"yes",0.9,20,19514
"Vicia sativa","Fabales","Fabaceae","Vicia","Vicia sativa","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",50,8.5,8.5,20,1.1,5.6,"herb","Short lived",0.27,"yes",0.7,23,6119
"Vismia lauriformis","Malpighiales","Hypericaceae","Vismia","Vismia lauriformis","Hermaphrodite","partially_self_compatible","low",7.4396,"Open","actinomorphic",11332.26,100,2,3,0.5,50,"tree","Perennial",14.5,"no",0,0,343809.019216667
"Vitex rotundifolia","Lamiales","Lamiaceae","Vitex","Vitex trifolia","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",2488.265,40,10,11.5,6.5,4,"shrub","Perennial",5,"yes",0.5,24.7212043333333,1508
"Waltheria ovata","Malvales","Malvaceae","Waltheria","Waltheria ovata","Hermaphrodite","partially_self_compatible","medium",25,"Campanulate","actinomorphic",100,25,5,5,2.8,2,"shrub","Perennial",1.55,"yes",0.1,3,3062.5
"Warneckea trinervis","Myrtales","Melastomataceae","Warneckea","Warneckea trinervis","Hermaphrodite","partially_self_compatible","low",9.30725000000001,"Open","actinomorphic",1026.37,6,6,2,4.5,33.6274333333333,"shrub","Perennial",2,"no",0,0,358179.396705
"Xylopia lamarckii","Magnoliales","Annonaceae","Xylopia","Xylopia lamarckii","Hermaphrodite","self_compatible","low",14.04055,"Tube","actinomorphic",70,90,20,40,10,5,"herb","Perennial",0.794773958333333,"no",0,0,94984.5885
"Xyris laxifolia","Poales","Xyridaceae","Xyris","Xyris laxifolia","Hermaphrodite","self_compatible","medium",40.63,"Open","actinomorphic",30,30,13,5.5,2.5,49.63335,"herb","Perennial",1,"no",0,0,11750
"Xyris savanensis","Poales","Xyridaceae","Xyris","Xyris savanensis","Hermaphrodite","partially_self_compatible","low",16.67,"Open","actinomorphic",30,5,5,2.5,2.5,48.4636416666667,"herb","Perennial",0.3,"no",0,0,11750
"Xyris setigera","Poales","Xyridaceae","Xyris","Xyris setigera","Hermaphrodite","self_compatible","medium",50.5,"Open","zygomorphic",1,12,12,5,2.5,664.482183333333,"herb","Perennial",9.1,"no",0,0,11750
"Zea mays","Poales","Poaceae","Zea","Zea mays","Monoecious","monoecious","none",0,"Open","actinomorphic",1393.095,90,6,12.5,45,1,"herb","Short lived",2.5,"no",0,0,14636
