"","Species_geonet","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"392","Hypoxis hirsuta","Asparagales","Hypoxidaceae","Hypoxis","Hypoxis hirsuta","Hermaphrodite","self_incompatible","low",4,"Open","actinomorphic",15,18.5,1.5,2,12,"herb","Perennial",0.05,"no"
"393","Hyptis dilatata","Lamiales","Lamiaceae","Hyptis","Hyptis dilatata","Hermaphrodite","self_compatible","medium",33.73,"Tube","zygomorphic",1500,2.5,3.5,3.85,4,"herb","Perennial",0.5,"yes"
"394","Ilex integra","Aquifoliales","Aquifoliaceae","Ilex","Ilex integra","Dioecious","dioecious","none",0,"Open","actinomorphic",12000,7,3.5,0.5,6,"tree","Perennial",2.75,"yes"
"395","Ilex retusa","Aquifoliales","Aquifoliaceae","Ilex","Ilex retusa","Dioecious","dioecious","none",0,"Open","actinomorphic",12000,7,3.5,0.5,6,NA,NA,2.75,"yes"
"396","Impatiens noli-tangere","Ericales","Balsaminaceae","Impatiens","Impatiens noli-tangere","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",15,13,25,1,7.8,"herb","Short lived",1,"yes"
"397","Impatiens pallida","Ericales","Balsaminaceae","Impatiens","Impatiens pallida","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","zygomorphic",15,30,28,1,137.5,"herb","Short lived",1.35,"yes"
"398","Impatiens textori","Ericales","Balsaminaceae","Impatiens","Impatiens textori","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",15,15,45,1,94,"herb","Short lived",0.85,"yes"
"399","Inga edulis","Fabales","Fabaceae","Inga","Inga edulis","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",180000,2.5,17,48,25,"tree","Perennial",15,"yes"
"400","Ipomoea habeliana","Solanales","Convolvulaceae","Ipomoea","Ipomoea habeliana","Hermaphrodite","self_compatible","medium",51,"Funnelform","actinomorphic",15,45,60,25,6,"vine","Perennial",4.5,"yes"
"401","Ipomoea indica","Solanales","Convolvulaceae","Ipomoea","Ipomoea indica","Hermaphrodite","self_compatible","none",0,"Funnelform","actinomorphic",25,62.5,62.5,14,6,"vine","Perennial",3,"yes"
"402","Ipomoea hederacea","Solanales","Convolvulaceae","Ipomoea","Ipomoea nil","Hermaphrodite","self_compatible","medium",58,"Campanulate","actinomorphic",10,22.5,18.1,20,6,"vine","Short lived",3.5,"yes"
"403","Ipomoea pandurata","Solanales","Convolvulaceae","Ipomoea","Ipomoea pandurata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,85,65,15,6,"vine","Perennial",2.5,"yes"
"404","Ipomoea pes-caprae","Solanales","Convolvulaceae","Ipomoea","Ipomoea pes-caprae","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,95,45,15,6,"vine","Perennial",5,"yes"
"405","Ipomoea purpurea","Solanales","Convolvulaceae","Ipomoea","Ipomoea purpurea","Hermaphrodite","self_compatible","high",31.67,"Campanulate","actinomorphic",15,50,37.5,28,6,"herb","Short lived",2,"yes"
"406","Belamcanda chinensis","Asparagales","Iridaceae","Iris","Iris domestica","Hermaphrodite","partially_self_compatible","low",15.8,"Open","actinomorphic",60,45,NA,14,24,"herb","Perennial",1,"yes"
"407","Iris versicolor","Asparagales","Iridaceae","Iris","Iris versicolor","Hermaphrodite","self_compatible","low",21,"Open","actinomorphic",1,70,40,32.5,127.5,"herb","Perennial",0.5,"yes"
"408","Rabdosia longituba","Lamiales","Lamiaceae","Isodon","Isodon longitubus","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",50,6,19.1,1,4,"herb","Perennial",0.5,"yes"
"409","Rabdosia trichocarpa","Lamiales","Lamiaceae","Isodon","Isodon trichocarpus","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",40,3,8,2,4,"herb","Perennial",1,"yes"
"410","Ixora pudica","Gentianales","Rubiaceae","Ixora","Ixora pudica","Monoecious","monoecious","none",0,"Tube","actinomorphic",6000,9,30,11,2,"shrub","Perennial",5,"yes"
"411","Jaegeria gracilis","Asterales","Asteraceae","Jaegeria","Jaegeria gracilis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",10,5,3,0.5,50,"herb","Short lived",0.15,"yes"
"412","Jasminocereus thouarsii","Caryophyllales","Cactaceae","Jasminocereus","Jasminocereus thouarsii","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",30,70,10,10,325,"shrub","Perennial",5,"yes"
"413","Juncus allioides","Poales","Juncaceae","Juncus","Juncus allioides","Hermaphrodite","self_compatible","high",100,"Brush","actinomorphic",5,6.5,17.5,2,51.3,"herb","Perennial",0.24,"no"
"414","Dianthera americana","Lamiales","Acanthaceae","Justicia","Justicia americana","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",15,19,9.5,9,4,"herb","Perennial",0.6,"yes"
"415","Justicia galapagana","Lamiales","Acanthaceae","Justicia","Justicia galapagana","Hermaphrodite","self_compatible","medium",38.1,"Tube","zygomorphic",30,7.1,10,5,3.1,"herb","Perennial",0.5,"yes"
"416","Kalmia angustifolia","Ericales","Ericaceae","Kalmia","Kalmia angustifolia","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",500,8.5,9.5,3,550,"shrub","Perennial",0.9,"yes"
"417","Kalmia polifolia","Ericales","Ericaceae","Kalmia","Kalmia polifolia","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",40,10,7,5.75,550,"shrub","Perennial",0.8,"yes"
"418","Kandetia candel","Malpighiales","Rhizophoraceae","Kandelia","Kandelia candel","Hermaphrodite","self_compatible","none",0,"Brush","actinomorphic",100,17.5,4,10.5,6,"tree","Perennial",8,"yes"
"419","Kerria japonica","Rosales","Rosaceae","Kerria","Kerria japonica","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",1500,42.5,NA,2.5,10,"shrub","Perennial",2.7,"yes"
"420","Knautia arvensis","Dipsacales","Caprifoliaceae","Knautia","Knautia arvensis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",12,8,9,9,2.5,"herb","Perennial",0.65,"yes"
"421","Krigia amplexicaulis","Asterales","Asteraceae","Krigia","Krigia biflora","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,31.5,11,1.55,55,"herb","Perennial",0.45,"yes"
"422","Kunzea muelleri","Myrtales","Myrtaceae","Kunzea","Kunzea muelleri","Hermaphrodite","partially_self_compatible","low",13,"Brush","actinomorphic",1200,8,3.5,5.25,16,"herb","Perennial",0.5,"yes"
"423","Lamium amplexicaule","Lamiales","Lamiaceae","Lamium","Lamium amplexicaule","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,4.5,17.5,18,4,"herb","Short lived",0.2,"yes"
"424","Lantana peducularis","Lamiales","Verbenaceae","Lantana","Lantana peduncularis","Hermaphrodite","self_compatible","low",0.3,"Funnelform","zygomorphic",120,4,3.5,2.2,4,"shrub","Perennial",1.25,"yes"
"425","Lappula virginiana","Boraginales","Boraginaceae","Lappula","Lappula virginiana","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",250,3,1.2,5.1,4,"herb","Short lived",0.9,"yes"
"426","Larrea_cuneifolia","Zygophyllales","Zygophyllaceae","Larrea","Larrea cuneifolia","Hermaphrodite","partially_self_compatible","medium",30,"Open","actinomorphic",500,6,3,5.5,13.8,"shrub","Perennial",1,"yes"
"427","Larrea divaricata","Zygophyllales","Zygophyllaceae","Larrea","Larrea divaricata","Hermaphrodite","partially_self_compatible","low",10,"Open","actinomorphic",1000,10,10,5,20.6,"shrub","Perennial",2,"yes"
"428","Larrea nitida","Zygophyllales","Zygophyllaceae","Larrea","Larrea nitida","Hermaphrodite","partially_self_compatible","low",20,"Open","actinomorphic",750,12,5,2.75,7,"shrub","Perennial",1,"yes"
"429","Lathirus clymenum","Fabales","Fabaceae","Lathyrus","Lathyrus clymenum","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",50,18,18,8,7,"herb","Short lived",0.65,"yes"
"430","Lathyrus montanus","Fabales","Fabaceae","Lathyrus","Lathyrus linifolius","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",15,11,13,4,9.36,"herb","Perennial",0.325,"yes"
"431","Lathyrus pratensis","Fabales","Fabaceae","Lathyrus","Lathyrus pratensis","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",8,13,13,3.9,8.18,"herb","Perennial",0.725,"yes"
"432","Lavandula pedunculata","Lamiales","Lamiaceae","Lavandula","Lavandula pedunculata","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",3000,5,5.5,5.5,4,"shrub","Perennial",0.445,"yes"
"433","Lavandula stoechas","Lamiales","Lamiaceae","Lavandula","Lavandula stoechas","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",4000,7,6.5,5.5,4,"shrub","Perennial",0.75,"yes"
"434","Ledum palustre","Ericales","Ericaceae","Ledum","Ledum palustre","Hermaphrodite","self_compatible","medium",51,"Open","actinomorphic",250,17.5,8,8,20,"shrub","Perennial",0.85,"yes"
"435","Leontodon longirostris","Asterales","Asteraceae","Leontodon","Leontodon saxatilis","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,11.5,3,3,25,"herb","Short lived",0.25,"yes"
"436","Leonurus cardiaca","Lamiales","Lamiaceae","Leonurus","Leonurus cardiaca","Hermaphrodite","self_compatible","medium",100,"Tube","zygomorphic",75,5.34,9.17,8.4,4,"herb","Perennial",0.75,"yes"
"437","Lepidium virginicum","Brassicales","Brassicaceae","Lepidium","Lepidium virginicum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",1000,3,1.5,0.15,2,"herb","Short lived",0.4,"yes"
"438","Lespedeza capitata","Fabales","Fabaceae","Lespedeza","Lespedeza capitata","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",100,5.1,4.9,2,1,"herb","Perennial",1.05,"yes"
"439","Lesquerella arctica","Brassicales","Brassicaceae","Lesquerella","Lesquerella arctica","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",100,8,5.1,2.5,15.5,"herb","Perennial",0.09,"yes"
"440","Leucanthemum vulgare","Asterales","Asteraceae","Leucanthemum","Leucanthemum vulgare","Hermaphrodite","self_incompatible","low",2.5,"Open","actinomorphic",4,45,7.5,1.5,180,"herb","Perennial",0.45,"yes"
"441","Liatris pycnostachya","Asterales","Asteraceae","Liatris","Liatris pycnostachya","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1800,10,8.8,19,5,"herb","Perennial",1.05,"yes"
"442","Lilium superbum","Liliales","Liliaceae","Lilium","Lilium superbum","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",5,68,50,40,147,"herb","Perennial",0.9,"yes"
"443","Linaria viscosa","Lamiales","Plantaginaceae","Linaria","Linaria viscosa","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",35,7,25,4.5,188.8,NA,"Short lived",0.35,"yes"
"444","Lindera obtusiloba","Laurales","Lauraceae","Lindera","Lindera obtusiloba","Dioecious","dioecious","none",0,"Open","actinomorphic",10000,6.5,2,1,1,"tree","Perennial",6.5,"yes"
"445","Lindera umbellata","Laurales","Lauraceae","Lindera","Lindera umbellata","Dioecious","dioecious","none",0,"Open","actinomorphic",10000,6,3,1,1,"shrub","Perennial",1.5,"yes"
"446","Ilysanthes dubia","Lamiales","Linderniaceae","Lindernia","Lindernia dubia","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",25,3.5,6.5,3,60,"herb","Short lived",0.2,"yes"
"447","Liparis liliifolia","Asparagales","Orchidaceae","Liparis","Liparis liliifolia","Hermaphrodite","self_incompatible","low",13,"Open","zygomorphic",25,8,10,3.5,25000,"herb","Perennial",0.17,"no"
"448","Lippia alba","Lamiales","Verbenaceae","Lippia","Lippia alba","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",750,5,4.1,1.5,2,"shrub","Perennial",1,"yes"
"449","Lippia_turbinata","Lamiales","Verbenaceae","Lippia","Lippia turbinata","Hermaphrodite",NA,"low",3,"Tube","actinomorphic",5000,2,2.75,1.5,2,"shrub","Perennial",1.5,"yes"
"450","Litsea citriodora","Laurales","Lauraceae","Litsea","Litsea cubeba","Dioecious","dioecious","none",0,"Open","actinomorphic",7500,3.1,2,0.3,1,"shrub","Perennial",6.5,"yes"
"451","Litsea japonica","Laurales","Lauraceae","Litsea","Litsea japonica","Dioecious","dioecious","none",0,"Brush","actinomorphic",1200,3.1,4,0.3,1,"tree","Perennial",5,"yes"
"452","Lobelia cardinalis","Asterales","Campanulaceae","Lobelia","Lobelia cardinalis","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",20,14.1,27.5,27.5,740,"herb","Perennial",0.9,"yes"
"453","Lobelia leptostachys","Asterales","Campanulaceae","Lobelia","Lobelia spicata","Dioecious","partially_self_compatible","low",13,"Tube","zygomorphic",50,15,10,5,627,"herb","Perennial",0.5,"yes"
"454","Alyssum maritimum","Brassicales","Brassicaceae","Lobularia","Lobularia maritima","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",750,4,NA,0.45,2,"herb","Perennial",0.25,"yes"
"455","Lonicera gracilipes","Dipsacales","Caprifoliaceae","Lonicera","Lonicera gracilipes","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",100,7.7,11.3,15,23,"shrub","Perennial",1.5,"yes"
"456","Lonicera sempervirens","Dipsacales","Caprifoliaceae","Lonicera","Lonicera sempervirens","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",600,1.1,35,3.2,23,"vine","Perennial",3,"yes"
"457","Lonicera sullivantii","Dipsacales","Caprifoliaceae","Lonicera","Lonicera sullivantii","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",600,15.6,24.1,12.5,23,"shrub","Perennial",0.8,"yes"
"458","Lotus corniculatus","Fabales","Fabaceae","Lotus","Lotus corniculatus","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",35,11,11,5,35,"herb","Perennial",0.55,"yes"
"459","Lotus uliginosus","Fabales","Fabaceae","Lotus","Lotus pedunculatus","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",60,15,12,8,49,"herb","Perennial",0.575,"yes"
"460","Ludwigia nervosa","Myrtales","Onagraceae","Ludwigia","Ludwigia nervosa","Hermaphrodite","self_compatible","low",19.35,"Open","actinomorphic",20,14.1,5,2.5,10.5,"shrub","Perennial",1.25,"yes"
"461","Lupinus angustifolius","Fabales","Fabaceae","Lupinus","Lupinus angustifolius","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",25,12.5,12.5,15.2,4,"herb","Short lived",0.45,"no"
"462","Lycopus americanus","Lamiales","Lamiaceae","Lycopus","Lycopus americanus","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",60,2,2.5,4.5,4,"herb","Perennial",2.15,"yes"
"463","Steironema lanceolatum","Ericales","Primulaceae","Lysimachia","Lysimachia lanceolatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,19.1,31.12,5,30,"herb","Perennial",0.55,"no"
"464","Lysimachia vulgaris","Ericales","Primulaceae","Lysimachia","Lysimachia vulgaris","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",30,17.5,9.5,4.5,30,"herb","Perennial",0.9,"yes"
"465","Lythrum salicaria","Myrtales","Lythraceae","Lythrum","Lythrum salicaria","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",75,15,8.5,7,107,"herb","Perennial",1.25,"yes"
"466","Macairea pachyphylla","Myrtales","Melastomataceae","Macairea","Macairea pachyphylla","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",700,15,10,4,49.07,"tree","Perennial",6,"no"
"467","Macairea parvifolia","Myrtales","Melastomataceae","Macairea","Macairea parvifolia","Hermaphrodite","partially_self_compatible","low",3.7,"Open","actinomorphic",700,16.5,10,4,49.07,"shrub","Perennial",1.6,"no"
"468","Machitus thunbergii","Laurales","Lauraceae","Machilus","Machilus thunbergii","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",500,5,2,2,1,"tree","Perennial",15,"yes"
"469","Smilacina racemosa","Asparagales","Asparagaceae","Maianthemum","Maianthemum racemosum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",60,2.25,0.75,0.2,8,"herb","Perennial",0.6,"yes"
"470","Smilacina stellata","Asparagales","Asparagaceae","Maianthemum","Maianthemum stellatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,5.1,0.75,1,5.1,"herb","Perennial",0.4,"yes"
"471","Smilacina trifolia","Asparagales","Asparagaceae","Maianthemum","Maianthemum trifolium","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",8,3.25,2.25,1,3,"herb","Perennial",0.1,"yes"
"472","Mallotus japonicus","Malpighiales","Euphorbiaceae","Mallotus","Mallotus japonicus","Dioecious","dioecious","none",0,"Brush","actinomorphic",24000,4.1,5,4,4,"shrub","Perennial",3,"yes"
"473","Malva rotundifolia","Malvales","Malvaceae","Malva","Malva pusilla","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,11,3.1,3,11,"herb","Short lived",0.35,"yes"
"474","Malvastrum coromandelianum","Malvales","Malvaceae","Malvastrum","Malvastrum coromandelianum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",15,17,5,4,11,"herb","Short lived",0.4,"no"
"475","Marcetia taxifolia","Myrtales","Melastomataceae","Marcetia","Marcetia taxifolia","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",75,3.2,2,9.4,118.45,"herb","Perennial",1.575,"no"
"476","Marrubium vulgare","Lamiales","Lamiaceae","Marrubium","Marrubium vulgare","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",85,4.9,2.3,0.7,1.1,"herb","Perennial",0.6,"no"
"477","Medusagyne oppositifolia","Theales","Ochnaceae","Medusagyne","Medusagyne oppositifolia","Monoecious","partially_self_compatible","low",10,"Brush","actinomorphic",1800,4,4,2.5,2,"tree","Perennial",9,"no"
"478","Meehania urticifolia","Lamiales","Lamiaceae","Meehania","Meehania urticifolia","Hermaphrodite","self_compatible","high",88,"Campanulate","zygomorphic",10,10,45,45,8,"herb","Perennial",0.3,"yes"
"479","Melastoma candidum","Myrtales","Melastomataceae","Melastoma","Melastoma malabathricum","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",75,60,15,25,2172.9,"shrub","Perennial",1,"no"
"480","Euodia chapelieri","Sapindales","Rutaceae","Melicope","Melicope chapelieri","Dioecious","dioecious","none",0,NA,"actinomorphic",8000,3,0.5,0.5,8,NA,NA,15,"no"
"481","Euodia obtusifolia","Sapindales","Rutaceae","Melicope","Melicope lunu-ankenda","Dioecious","dioecious","none",0,"Open","actinomorphic",8000,3,0.5,0.5,8,"tree","Perennial",15,"no"
"482","Melilotus alba","Fabales","Fabaceae","Melilotus","Melilotus alba","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",60,3,4.5,2,5,"herb","Short lived",1.5,"yes"
"483","Meliosma oldhamii","Proteales","Sabiaceae","Meliosma","Meliosma oldhamii","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30000,4,2,0.5,4,"tree","Perennial",10,"yes"
"484","Meliosma rigida","Proteales","Sabiaceae","Meliosma","Meliosma rigida","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10000,3,2.1,0.5,4,"tree","Perennial",3.5,"yes"
"485","Meliosma tenuis","Proteales","Sabiaceae","Meliosma","Meliosma tenuis","Hermaphrodite","self_incompatible","low",1.8,"Open","actinomorphic",2500,5,2,0.5,9.9,"tree","Perennial",2.5,"yes"
"486","Melochia pyramidata","Malvales","Malvaceae","Melochia","Melochia pyramidata","Hermaphrodite","self_compatible","medium",62.7,"Tube","actinomorphic",25,5.3,6.5,3.1,5.5,"herb","Perennial",0.6,"no"
"487","Melochia villosa","Malvales","Malvaceae","Melochia","Melochia villosa","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",60,6.7,7.7,6,9,"herb","Perennial",1.15,"yes"
"488","Mentha aquatica","Lamiales","Lamiaceae","Mentha","Mentha aquatica","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",100,2.5,5,9,4,"herb","Perennial",0.85,"yes"
"489","Mentha arvensis","Lamiales","Lamiaceae","Mentha","Mentha arvensis","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",80,3.4,5.5,6.25,4,"herb","Perennial",0.5,"yes"
"490","Miconia ciliata","Myrtales","Melastomataceae","Miconia","Miconia ciliata","Hermaphrodite","self_incompatible","low",0,"Open","actinomorphic",75,5,2,1.25,104.39,"shrub","Perennial",4,"no"
"491","Miconia robinsoniana","Myrtales","Melastomataceae","Miconia","Miconia robinsoniana","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",200,13,2,4,270,"shrub","Perennial",3.5,"yes"
"492","Saxifraga nivalis","Saxifragales","Saxifragaceae","Micranthes","Micranthes nivalis","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,6.5,2.1,1,150,"herb","Perennial",0.065,"yes"
"493","Microseris lanceolata","Asterales","Asteraceae","Microseris","Microseris lanceolata","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,17.5,5,5,20,"herb","Perennial",0.2,"yes"
"494","Mimosa camporum","Fabales","Fabaceae","Mimosa","Mimosa camporum","Hermaphrodite","self_compatible","low",7.47,"Brush","actinomorphic",500,50,29.1,7.5,6.5,"herb","Short lived",0.35,"yes"
"495","Mimulus moschatus","Lamiales","Phrymaceae","Mimulus","Mimulus moschatus","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",2,17,20,8.5,290,"herb","Perennial",0.2,"yes"
"496","Mimulus ringens","Lamiales","Phrymaceae","Mimulus","Mimulus ringens","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,10,15,13,6000,"herb","Perennial",0.6,"yes"
"497","Mirabilis jalapa","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis jalapa","Hermaphrodite","self_compatible","medium",57,"Tube","actinomorphic",50,35,45,37.5,1,"herb","Perennial",0.5,"yes"
"498","Molinaea macrantha","Sapindales","Sapindaceae","Molinaea","Molinaea macrantha","Monoecious","monoecious","none",0,NA,"actinomorphic",500,5.5,5.5,0.5,3,"shrub","Perennial",10,"yes"
"499","Mollugo flavescens","Caryophyllales","Molluginaceae","Mollugo","Mollugo flavescens","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",100,31.12,2,3,30,"herb","Short lived",0.25,"yes"
"500","Mollugo snodgrassii","Caryophyllales","Molluginaceae","Mollugo snodgrassii","Mollugo snodgrassii","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,8,2,2,30,"herb","Perennial",0.25,"yes"
"501","Mollugo verticillata","Caryophyllales","Molluginaceae","Mollugo","Mollugo verticillata","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,4.5,1.5,0.4,30,"herb","Short lived",0.15,"yes"
"502","Mormordica charantia","Cucurbitales","Cucurbitaceae","Momordica","Momordica charantia","Monoecious","monoecious","none",0,"Open","actinomorphic",10,32,5,2.5,48,"vine","Short lived",2.5,"yes"
"503","Montricharida arborescens","Alismatales","Araceae","Montrichardia","Montrichardia arborescens","Monoecious","monoecious","low",13,"Spike","zygomorphic",60,1,1,0.1,1,"shrub","Perennial",2.25,"no"
"504","Monttea_aphylla","Lamiales","Plantaginaceae","Monttea","Monttea aphylla","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",250,18,15.5,6,1,"shrub","Perennial",1.5,"no"
"505","Muehlenbeckia axillaris","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia axillaris","Dioecious","dioecious","none",0,"Open","actinomorphic",100,5.1,0.6,1,1,"shrub","Perennial",0.25,"yes"
"506","Muehlenbeckia complexa","Caryophyllales","Polygonaceae","Muehlenbeckia","Muehlenbeckia complexa","Dioecious","dioecious","none",0,"Open","actinomorphic",150,3.5,0.5,1,1,"vine","Perennial",2.75,"yes"
"507","Commelina nudiflora","Commelinales","Commelinaceae","Murdannia","Murdannia nudiflora","Hermaphrodite","self_compatible","high",96,"Open","actinomorphic",15,9,1.5,0.9,6,"herb","Short lived",0.15,"no"
"508","Musa balbisiana","Zingiberales","Musaceae","Musa","Musa balbisiana","Monoecious","monoecious","none",0,"Tube","actinomorphic",60,10,40,40,250,"herb","Perennial",4,"yes"
"509","Musaenda parviflora","Gentianales","Rubiaceae","Mussaenda","Mussaenda parviflora","Dioecious","self_incompatible","none",0,"Tube","actinomorphic",35,11.35,13.4,13,929.5,"shrub","Perennial",4,"yes"
"510","Mycelis muralis","Asterales","Asteraceae","Mycelis","Mycelis muralis","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",70,7.5,13.5,13.5,5,"herb","Perennial",0.55,"yes"
"511","Myosotis palustris","Boraginales","Boraginaceae","Myosotis","Myosotis scorpioides","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",40,9,1.5,2.25,4,"herb","Perennial",0.4,"yes"
"512","Myosurus minimus","Ranunculales","Ranunculaceae","Myosurus","Myosurus minimus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",25,6.5,1,0.45,400,"herb","Short lived",0.75,"yes"
"513","Mirtus communis","Myrtales","Myrtaceae","Myrtus","Myrtus communis","Hermaphrodite","self_compatible","medium",49,"Open","actinomorphic",500,25,3.75,15,72,"shrub","Perennial",2.5,"no"
"514","Prenanthes aspera","Asterales","Asteraceae","Nabalus","Nabalus asper","Monoecious","monoecious","none",0,"Capitulum","actinomorphic",18,38,20,14,9.1,"herb","Perennial",0.75,"yes"
"515","Nelumbo lutea","Proteales","Nelumbonaceae","Nelumbo","Nelumbo lutea","Hermaphrodite","self_compatible","low",18.3,"Open","actinomorphic",1,150,40,0.5,24.9,"herb","Perennial",1.35,"no"
"516","Nemopanthus mucronata","Aquifoliales","Aquifoliaceae","Nemopanthus","Nemopanthus mucronatus","Dioecious","dioecious","none",0,"Open","actinomorphic",35,5.1,2.5,0.1,24.5,"shrub","Perennial",2.4,"yes"
"517","Nepenthes pervillei","Caryophyllales","Nepenthaceae","Nepenthes","Nepenthes pervillei","Dioecious","dioecious","none",0,"Tube","actinomorphic",1,19.1,28.2,1,24,"vine","Perennial",5.1,"yes"
"518","Nepeta cataria","Lamiales","Lamiaceae","Nepeta","Nepeta cataria","Hermaphrodite","self_compatible","medium",63.7,"Tube","zygomorphic",50,4.25,8.5,7.1,4,"herb","Perennial",0.6,"yes"
"519","Nepeta laevigata","Lamiales","Lamiaceae","Nepeta","Nepeta laevigata","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",60,4,10,10,4,"herb","Perennial",0.575,"yes"
"520","Nepeta stewartiana","Lamiales","Lamiaceae","Nepeta","Nepeta stewartiana","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",40,15,22.5,10,4,"herb","Perennial",1,"yes"
"521","Nephrosperma vanhoutteanum","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,3,1,1,1500,"tree","Perennial",7.5,"yes"
"522","Nolana galapagensis","Solanales","Solanaceae","Nolana","Nolana galapagensis","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",5000,8,16,7,30,"shrub","Perennial",1,"yes"
