"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence","Clusters"
"Symphyotrichum lateriflorum","Hermaphrodite","self_incompatible","low",-0.225927898529308,"Capitulum","actinomorphic",-0.231427394739653,-0.133840057344134,0.193062359134805,-0.168793904677472,-0.404606058281471,-0.165997781797446,-0.110021807508631,"herb","Perennial",-0.409810315915027,"yes",2
"Symphyotrichum nova-angliciae","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.234327348905921,-0.109242172953545,0.416385382580188,0.62027627024511,0.591452547075251,-0.276910413306325,-0.0864877656149936,"herb","Perennial",-0.367118577789277,"yes",3
"Symphyotrichum turbinellum","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.234327348905921,-0.158437941734724,-0.318347364555123,0.575891072905715,0.53320350582632,-0.165997781797446,-0.107374227795597,"herb","Perennial",-0.387041388914627,"yes",3
"Symplocos microcalyx","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Brush","actinomorphic",-0.121229136421468,-0.133840057344134,-0.700229734646728,-0.267427676542795,-0.28921616379337,-0.387823044815205,-0.122965530550132,"shrub","Perennial",-0.011354093408027,"yes",3
"Symplocos paniculata","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Open","actinomorphic",0.574759863482865,-0.133840057344134,-0.722562036991266,-0.316744562475456,-0.36077746866697,-0.387823044815205,-0.122965530550132,"shrub","Perennial",-0.011354093408027,"yes",3
"Syngonanthus caulescens","Hermaphrodite","self_compatible","low",-0.225927898529308,"Capitulum","actinomorphic",-0.236067321405682,-0.168277095490959,-0.81189124636942,-0.661962764004086,-0.579353182028264,-0.665104623587403,-0.126495636834177,"herb","Perennial",-0.540731646167327,"no",2
"Syzygium commersonii","Hermaphrodite","self_compatible","low",-0.2065941804601,"Brush","actinomorphic",-0.0129351813391313,0.444210225834716,0.432861038634871,-0.231931847892762,-0.242982443528062,-0.0240410128198744,-0.108845105413949,"shrub","Perennial",-0.438271474665527,"yes",2
"Syzygium coriaceum","Hermaphrodite","self_compatible","low",-0.281512045050259,"Brush","actinomorphic",-0.179228219746829,-0.109242172953545,0.00619123619129412,-0.198704595995631,-0.240605882645105,-0.204050057124284,-0.108845105413949,"shrub","Perennial",0.0662156088848452,"yes",2
"Syzygium glomeratum","Hermaphrodite","self_compatible","low",-0.258581483340028,"Brush","actinomorphic",-0.121229136421468,-0.109242172953545,0.0945657396442184,-0.331083447060378,-0.328151279190186,-0.609648307832964,-0.118847073218745,"tree","Perennial",0.842480669106973,"yes",2
"Syzygium jambos","Hermaphrodite","self_compatible","medium",2.0050119092191,"Brush","actinomorphic",-0.121229136421468,-0.109242172953545,2.42629259358864,2.93816990908019,3.73107587039264,3.71594432101333,-0.092371276088403,"tree","Perennial",2.12323281287947,"yes",1
