"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"155","Fabales","Fabaceae","Astragalus","Species_all_Astragalus canadensis","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",300,60,30,5,12.1,7.5,12,"herb","Perennial",0.9
"156","Fabales","Fabaceae","Astragalus","Species_all_Astragalus mexicanus","Hermaphrodite","self_incompatible","none",25.150722496988,"Tube","zygomorphic",300,15,35,10,16,7.5,12,"herb","Perennial",0.45
"157","Fabales","Fabaceae","Astragalus","Species_all_Astragalus pullus","Hermaphrodite","self_incompatible","none",24.4592991662472,"Tube","zygomorphic",120,20,30,5,10,10,16,"shrub","Perennial",0.15
"158","Brassicales","Capparaceae","Atamisquea","Species_all_Atamisquea emarginata","Hermaphrodite","self_incompatible","none",3.5,"Open","zygomorphic",10000,6,40,13,6.58654615265033,6,23,"shrub","Perennial",4.5
"159","Lamiales","Orobanchaceae","Aureolaria","Species_all_Aureolaria grandiflora","Hermaphrodite","self_incompatible","none",22.7941029607401,"Campanulate","actinomorphic",15,15,60,33,47.5,18,100,"herb","Perennial",1.05
"160","Lamiales","Acanthaceae","Avicennia","Species_all_Avicennia germinans","Hermaphrodite","self_compatible","low",10,"Tube","actinomorphic",5000,25,50,10,6,4,4,"tree","Perennial",14
"161","Malvales","Malvaceae","Ayenia","Species_all_Ayenia tomentosa","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,15,20,17.3185847811919,10.266212993385,0.5,10,"herb","Perennial",0.55
"162","Asterales","Campanulaceae","Azorina","Species_all_Azorina vidalii","Hermaphrodite","self_compatible","none",17.7125779392942,"Campanulate","actinomorphic",50,12,50,11,24,15,336.441375146429,"shrub","Perennial",1.2
"163","Asterales","Asteraceae","Baccharis","Species_all_Baccharis crispa","Dioecious","dioecious","none",0,"Capitulum","actinomorphic",750,15,5,5,3,4,65,"shrub","Perennial",0.6
"164","Lamiales","Plantaginaceae","Bacopa","Species_all_Bacopa monnieri","Hermaphrodite","self_compatible","low",25.6446974752655,"Campanulate","actinomorphic",10,1,7.5,7.5,10,4.1,178,"herb","Perennial",0.25
"165","Ericales","Primulaceae","Badula","Species_all_Badula insularis","Hermaphrodite","self_compatible","none",13.7129589997358,"Open","actinomorphic",300,30,30,8.9928299151413,4.59439573006454,0.1,4,"tree","Perennial",3.5
"166","Ericales","Primulaceae","Badula","Species_all_Badula platyphylla","Hermaphrodite","self_compatible","none",15.0304086768853,"Open","actinomorphic",300,30,30,9.57804697208087,4.6817767472597,0.1,4,"shrub","Perennial",1.5
"167","Myrtales","Myrtaceae","Baeckea","Species_all_Baeckea gunniana","Hermaphrodite","self_compatible","none",18.0145925581679,"Open","actinomorphic",1500,15,35,4.5,1.3,0.6,19,"shrub","Perennial",0.75
"168","Santalales","Loranthaceae","Bakerella","Species_all_Bakerella hoyifolia","Hermaphrodite","self_compatible","medium",23.2100741982868,"Tube","actinomorphic",1010.33447778435,40,50,4.1,24.5,25,8,"herb","Perennial",0.75
"169","Fabales","Fabaceae","Baptisia","Species_all_Baptisia alba","Hermaphrodite","self_compatible","low",29.9710829321925,"Papilionaceous","zygomorphic",500,85,60,7.49690855467447,10.0707106444562,6,30,"herb","Perennial",0.9
"170","Fabales","Fabaceae","Baptisia","Species_all_Baptisia bracteata","Hermaphrodite","self_compatible","low",30.3593925349366,"Papilionaceous","zygomorphic",600,30,60,14,16,12,18.5,"herb","Perennial",0.25
"171","Ericales","Lecythidaceae","Barringtonia","Species_all_Barringtonia racemosa","Hermaphrodite","self_compatible","none",12.3236880472319,"Brush","actinomorphic",2000,30,120,20,14.7406929608165,41,5,"tree","Perennial",6
"172","Lamiales","Orobanchaceae","Bartsia","Species_all_Bartsia alpina","Hermaphrodite","self_compatible","none",28.7900345380578,"Tube","zygomorphic",10,10,35,5,17.5,17,94,"herb","Perennial",0.23
"173","Malvales","Malvaceae","Bastardia","Species_all_Bastardia viscosa","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",20,20,7.1,7.1,2,1,5,"herb","Perennial",1
"174","Fabales","Fabaceae","Bauhinia","Species_all_Bauhinia japonica","Hermaphrodite","self_incompatible","none",21.8867045961497,"Open","zygomorphic",2370.68242758269,5,60,19.1,16.5358813798909,50,8,"vine","Perennial",6
"175","Ericales","Ericaceae","Bejaria","Species_all_Bejaria aestuans","Hermaphrodite","self_compatible","none",15.3899140238737,"Campanulate","actinomorphic",100,10,100,35,25,28.1,100,"tree","Perennial",7.1
"176","Gentianales","Rubiaceae","Bertiera","Species_all_Bertiera zaluzania","Dioecious","dioecious","none",0,"Tube","actinomorphic",4698.89651626675,50,75,15,15,15,100,"shrub","Perennial",1
"177","Caryophyllales","Chenopodiaceae","Beta","Species_all_Beta vulgaris","Dioecious","partially_self_compatible","low",18.8347846176003,"Tube","actinomorphic",150,150,10,2.5,4,2.01,1,"herb","Perennial",0.5
