Order_all,Family_all,Genus_all,Species_all,subspecies,species_geonet,,,,,,,,,,,,,,,,,,,,
Cornales,Lauraceae,Machilus,Machilus thunbergii,NA,Machitus thunbergii,,,,,,,,,,,,,,,,,,,,
Laurales,Malvaceae,Heritiera,Heritiera littoralis,NA,Heritiera littoralis,,,,,,,,,,,,,,,,,,,,
Malvales,Lauraceae,Cinnamomum,Cinnamomum doederleinii,NA,Cinnamomum doederleinii,,,,,,,,,,,,,,,,,,,,
Laurales,Zingiberaceae,Alpinia,Alpinia intermedia,NA,Alpinia intermedia,,,,,,,,,,,,,,,,,,,,
Zingiberales,Asteraceae,Crepidiastrum,Crepidiastrum lanceolatum,NA,Crepidiastrum lanceolatum,,,,,,,,,,,,,,,,,,,,
Asterales,Asteraceae,Crepidiastrum,Crepidiastrum lanceolatum,NA,Crepidiastrum lanceolatum,,,,,,,,,,,,,,,,,,,,
Asterales,Rubiaceae,Psychotria,Psychotria serpens,NA,Psychotria sepens,,,,,,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Psychotria,Psychotria serpens,NA,Psychotria sepens,,,,,,,,,,,,,,,,,,,,
Gentianales,Elaeocarpaceae,Elaeocarpus,Elaeocarpus sylvestris,NA,Elaeocarpus sylvestris,,,,,,,,,,,,,,,,,,,,
Oxalidales,Apiaceae,Peucedanum,Peucedanum japonicum,NA,Peucedanum joponicum,,,,,,,,,,,,,,,,,,,,
Apiales,Styracaceae,Styrax,Styrax japonicus,NA,Styrax japonica,,,,,,,,,,,,,,,,,,,,
Ericales,Rhamnaceae,Rhamnella,Rhamnella franguloides,NA,Rhamnella franguloides,,,,,,,,,,,,,,,,,,,,
Rosales,Symplocaceae,Symplocos,Symplocos microcalyx,NA,Symplocos microcalyx,,,,,,,,,,,,,,,,,,,,
Ericales,Phyllanthaceae,Glochidion,Glochidion obovatum,NA,Glochidion obovatum,,,,,,,,,,,,,,,,,,,,
Malpighiales,Lamiaceae,Mosla,Mosla dianthera,NA,Mosla dianthera,,,,,,,,,,,,,,,,,,,,
Lamiales,Brassicaceae,Brassica,Brassica rapa,NA,Brassica campestris,,,,,,,,,,,,,,,,,,,,
Brassicales,Goodeniaceae,Scaevola,Scaevola taccada,NA,Scaevola frutescens,,,,,,,,,,,,,,,,,,,,
Asterales,Orobanchaceae,Aeginetia,Aeginetia indica,NA,Aeginetia indica,,,,,,,,,,,,,,,,,,,,
Lamiales,Oleaceae,Ligustrum,Ligustrum japonicum,NA,Ligustrum joponicum,,,,,,,,,,,,,,,,,,,,
Lamiales,Rosaceae,Rubus,Rubus croceacanthus,NA,Rubus croceacanthus,,,,,,,,,,,,,,,,,,,,
Rosales,Rubiaceae,Psychotria,Psychotria homalosperma,NA,Psychotria homalosperma,,,,,,,,,,,,,,,,,,,,
Gentianales,Rubiaceae,Psychotria,Psychotria homalosperma,NA,Psychotria homalosperma,,,,,,,,,,,,,,,,,,,,
Gentianales,Phyllanthaceae,Antidesma,Antidesma japonicum,NA,Antidesma joponicum,,,,,,,,,,,,,,,,,,,,
Malpighiales,Phyllanthaceae,Antidesma,Antidesma japonicum,NA,Antidesma joponicum,,,,,,,,,,,,,,,,,,,,
Malpighiales,Aquifoliaceae,Ilex,Ilex integra,NA,Ilex integra,,,,,,,,,,,,,,,,,,,,
Aquifoliales,Aquifoliaceae,Ilex,Ilex integra,NA,Ilex integra,,,,,,,,,,,,,,,,,,,,
Aquifoliales,Sapindaceae,Acer,Acer caudatifolium,NA,Acer insulae,,,,,,,,,,,,,,,,,,,,
Sapindales,Polygalaceae,Persicaria,Persicaria chinensis,NA,Persicaria chinensis,,,,,,,,,,,,,,,,,,,,
Fabales,Rosaceae,Rhaphiolepis,Rhaphiolepis indica,NA,Rhaphiolepis indica,,,,,,,,,,,,,,,,,,,,
Apiales,Araliaceae,Schefflera,Schefflera heptaphylla,NA,Schefflera octophylla,,,,,,,,,,,,,,,,,,,,
Apiales,Araliaceae,Schefflera,Schefflera heptaphylla,NA,Schefflera octophylla,,,,,,,,,,,,,,,,,,,,
Apiales,Melastomataceae,Bredia,Bredia hirsuta,NA,Bredia hirsuta,,,,,,,,,,,,,,,,,,,,
Myrtales,Stemonaceae,Croomia,Croomia japonica,NA,Croomia japonica,,,,,,,,,,,,,,,,,,,,
Pandanales,Lamiaceae,Premna,Premna microphylla,NA,Premna microphylla,,,,,,,,,,,,,,,,,,,,
Lamiales,Rosaceae,Rubus,Rubus sieboldii,NA,Rubus sieboldii,,,,,,,,,,,,,,,,,,,,
Rosales,Ranunculaceae,Clematis,Clematis grata,NA,Clematis grata,,,,,,,,,,,,,,,,,,,,
Ranunculales,Pandanaceae,Pandanus,Pandanus odorifer,NA,Pandanus odoratissimus,,,,,,,,,,,,,,,,,,,,
Pandanales,Pandanaceae,Pandanus,Pandanus odorifer,NA,Pandanus odoratissimus,,,,,,,,,,,,,,,,,,,,
Pandanales,Malvaceae,Hibiscus,Hibiscus makinoi,NA,Hibiscus maleinoi,,,,,,,,,,,,,,,,,,,,
Malvales,Pinaceae,Pinus,Pinus luchuensis,NA,Pinus luchuensis,,,,,,,,,,,,,,,,,,,,
Pinales,Lamiaceae,Premna,Premna corymbosa,NA,Premna corymbosa,,,,,,,,,,,,,,,,,,,,
Lamiales,Primulaceae,Lysimachia,Lysimachia mauritiana,NA,Lysimachia mauiriana,,,,,,,,,,,,,,,,,,,,
Ericales,Lamiaceae,Ajuga,Ajuga dictyocarpa,NA,Ajuga dictyocarpa,,,,,,,,,,,,,,,,,,,,
Lamiales,Zingiberaceae,Alpinia,Alpinia,NA,Alpinia sp1 M PL 044,,,,,,,,,,,,,,,,,,,,
Zingiberales,Ebenaceae,Diospyros,Diospyros japonica,NA,Diospyrus japonica,,,,,,,,,,,,,,,,,,,,
Ericales,Crassulaceae,Sedum,Sedum formosanum,NA,Sedum formosanum,,,,,,,,,,,,,,,,,,,,
Saxifragales,Arecaceae,Alocasia,Alocasia odora,NA,Alocasia odora,,,,,,,,,,,,,,,,,,,,
