network number,site ID,habitat type,plant,family (plant),growth form,taxonomic resolution plant,pollinator,taxonomic resolution (pollinator),"individuals caught (1=yes, 0=no)",family (pollinator),order (pollinator),group (pollinator) ,interaction strength,Identifier,Literature used,Comment
cof340891,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Patellapis sp.17,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340891,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,Apoidea Solanum,observation,0,,Hymenoptera,Apoidea:Bee,1,,,
cof340891,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340891,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,"Melanostoma annulipes (Macquart, 1842)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340891,cof3,coffee plantation,Solanum nigrum,Solanaceae,herbaceous,Species,"Syritta bulbus (Walker, 1849)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof340891,cof3,coffee plantation,Teramnus labialis,Fabaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
cof340891,cof3,coffee plantation,Thunbergia alata,Acanthaceae,herbaceous,Species,Lasioglossum sp.12,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,2,C. Eardley,1,
cof340891,cof3,coffee plantation,Thunbergia alata,Acanthaceae,herbaceous,Species,Lasioglossum sp.14,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof340891,cof3,coffee plantation,Thunbergia alata,Acanthaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
cof341029,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341029,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,Pseudapis sp. 3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341029,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,Lasioglossum Bidens,observation,0,Halictidae,Hymenoptera,Apoidea:Bee,1,,,
